base_cluster,other_cluster,options,outlier_id,last_option,phi_pick,qwen_pick
0,"[14, 8]","['28694', '43629', '31926', '32703', '60860']",28694,60860,32703,32703
0,"[14, 9]","['37963', '48095', '27625', '43995', '26678']",26678,26678,43995,26678
0,"[15, 13]","['43375', '62759', '75880', '43629', '34763']",34763,34763,43629,34763
0,"[15, 28]","['10526', '44802', '70440', '37989', '75880']",10526,75880,37989,75880
0,"[17, 5]","['7913', '32703', '60860', '63508', '49395']",7913,49395,63508,60860
0,"[3, 28]","['60860', '42226', '17291', '28242', '25447']",42226,25447,28242,25447
0,"[3, 5]","['63508', '62759', '63514', '44802', '78009']",63514,78009,44802,78009
0,"[4, 27]","['80522', '49395', '42604', '70239', '31926']",70239,31926,70239,31926
0,"[5, 19]","['17291', '15613', '9639', '59474', '60473']",60473,60473,59474,59474
0,"[7, 20]","['60860', '72266', '54372', '67465', '59474']",54372,59474,67465,59474
0,"[9, 26]","['10984', '70440', '7474', '37989', '43995']",7474,43995,37989,43995
0,"[9, 3]","['39894', '8176', '67842', '1268', '66807']",1268,66807,1268,66807
0,"[9, 3]","['60860', '43995', '48095', '14914', '25447']",14914,25447,14914,25447
0,"[9, 3]","['78009', '1268', '75880', '44802', '43375']",1268,43375,44802,1268
3,"[0, 0]","['12043', '12683', '59100', '8176', '64047']",8176,64047,8176,8176
3,"[0, 14]","['55090', '17291', '54792', '37955', '18887']",17291,18887,37955,18887
3,"[0, 2]","['49864', '1064', '47060', '68096', '45218']",45218,45218,68096,45218
3,"[15, 17]","['10017', '72586', '1181', '32729', '11908']",11908,11908,32729,11908
3,"[15, 17]","['30004', '38478', '73164', '20671', '47834']",47834,47834,20671,47834
3,"[18, 25]","['42226', '19992', '4132', '1181', '9383']",4132,9383,1181,9383
3,"[19, 14]","['4286', '34449', '38478', '26703', '20671']",26703,20671,26703,20671
3,"[19, 5]","['64', '59952', '50906', '9383', '73164']",59952,73164,9383,73164
3,"[4, 27]","['9147', '5222', '55090', '10017', '37907']",5222,37907,10017,37907
3,"[5, 19]","['54792', '177', '11033', '51211', '9147']",51211,9147,51211,177
3,"[5, 29]","['57316', '1181', '20968', '19796', '8257']",57316,8257,19796,19796
3,"[5, 29]","['74226', '18887', '52548', '50906', '55090']",52548,55090,50906,55090
3,"[7, 1]","['1064', '55090', '73823', '54792', '17550']",17550,17550,54792,17550
3,"[7, 1]","['22487', '22002', '17550', '177', '68096']",17550,68096,177,177
3,"[7, 22]","['19796', '79411', '20671', '37907', '37955']",79411,37955,37907,37955
3,"[7, 22]","['4286', '38478', '9147', '23132', '994']",23132,994,994,994
3,"[7, 3]","['49864', '177', '27821', '61767', '73823']",61767,73823,61767,73823
3,"[9, 26]","['33084', '7474', '63514', '9147', '40031']",7474,40031,9147,40031
3,"[9, 4]","['79413', '64', '34449', '64047', '74226']",79413,74226,64047,64
5,"[15, 28]","['10526', '51114', '51211', '48795', '63485']",10526,63485,48795,63485
5,"[15, 28]","['10743', '10526', '52548', '2004', '18711']",10526,18711,2004,18711
5,"[15, 28]","['21765', '10526', '35725', '49189', '18711']",10526,18711,49189,18711
5,"[19, 14]","['53655', '27706', '10743', '26372', '77349']",26372,77349,26372,27706
