model,modality,task,reoriented,legend,accuracy,count_A,count_B,count_C,count_D,count_E,n_examples
vlm_qwen2.5-vl,img,diff_first,0,0,0.39,6,17,40,12,25,100
vlm_qwen2.5-vl,img,diff_first,0,1,0.35,1,10,39,18,32,100
vlm_qwen2.5-vl,img,diff_first,1,0,0.67,2,18,27,25,28,100
vlm_qwen2.5-vl,img,diff_first,1,1,0.69,2,16,24,28,30,100
vlm_qwen2.5-vl,img,same_second,0,0,0.28,3,34,22,8,33,100
vlm_qwen2.5-vl,img,same_second,0,1,0.3,2,26,23,6,43,100
vlm_qwen2.5-vl,img,same_second,1,0,0.38,1,30,19,18,32,100
vlm_qwen2.5-vl,img,same_second,1,1,0.38,0,20,23,24,33,100
vlm_qwen2.5-vl,multi,diff_first,0,0,0.42,8,2,33,17,40,100
vlm_qwen2.5-vl,multi,diff_first,0,1,0.41,3,1,30,21,45,100
vlm_qwen2.5-vl,multi,diff_first,1,0,0.63,4,6,22,25,43,100
vlm_qwen2.5-vl,multi,diff_first,1,1,0.67,4,8,19,31,38,100
vlm_qwen2.5-vl,multi,same_second,0,0,0.27,4,13,21,12,50,100
vlm_qwen2.5-vl,multi,same_second,0,1,0.29,5,9,16,14,56,100
vlm_qwen2.5-vl,multi,same_second,1,0,0.34,4,2,18,15,61,100
vlm_qwen2.5-vl,multi,same_second,1,1,0.34,4,3,22,21,50,100
