filename,cluster,shape_category
40795.png,1,22
60259.png,8,11
45409.png,19,13
22733.png,0,4
25886.png,8,21
66816.png,8,2
17295.png,3,28
74616.png,2,17
6164.png,3,16
23302.png,15,22
29009.png,8,6
19848.png,15,11
62293.png,8,27
1004.png,5,11
72410.png,19,13
4246.png,8,13
69872.png,8,1
7622.png,8,14
48410.png,8,23
75529.png,0,5
7177.png,19,7
19485.png,8,8
19020.png,5,19
50274.png,8,28
21427.png,3,16
17296.png,8,20
35599.png,8,13
62610.png,0,5
56441.png,8,27
59036.png,8,7
19782.png,8,19
77726.png,8,15
15488.png,3,3
77647.png,0,14
22124.png,1,20
70762.png,8,16
34512.png,12,16
46035.png,0,2
59280.png,0,2
24481.png,19,25
80556.png,8,23
8432.png,11,9
25500.png,8,22
6784.png,8,14
39764.png,8,22
57269.png,8,16
64121.png,8,17
21895.png,6,21
55644.png,2,18
22400.png,8,29
20735.png,8,21
53703.png,17,18
16908.png,4,29
25438.png,8,10
63309.png,8,27
78917.png,11,19
37951.png,18,23
34425.png,1,20
4319.png,8,29
7088.png,6,1
69080.png,8,11
38066.png,10,1
56100.png,8,27
76575.png,8,20
46187.png,18,23
73506.png,1,22
20322.png,2,13
18975.png,8,22
13144.png,10,11
44993.png,2,17
35103.png,6,21
72783.png,8,27
50133.png,8,10
15531.png,8,17
25037.png,13,22
65003.png,1,5
78475.png,8,17
43328.png,8,25
70134.png,13,19
26537.png,8,28
52508.png,0,2
77017.png,1,5
24872.png,8,15
48677.png,18,23
71018.png,18,23
13921.png,7,22
72432.png,1,5
40794.png,8,19
38092.png,1,22
71435.png,8,15
9412.png,1,20
17070.png,0,15
8244.png,9,28
13099.png,10,27
13219.png,15,26
39432.png,8,7
79186.png,4,4
36040.png,3,12
50828.png,14,16
46738.png,8,10
8768.png,8,13
73635.png,2,6
32797.png,5,27
68437.png,8,11
20075.png,18,23
71016.png,8,29
5875.png,19,25
8679.png,8,16
48963.png,8,16
15290.png,8,16
56672.png,8,18
40743.png,14,11
21689.png,2,7
37656.png,8,1
15062.png,8,9
63935.png,8,13
8843.png,8,20
49307.png,2,17
49144.png,15,2
19594.png,8,25
44734.png,19,16
18872.png,8,11
55713.png,8,4
39028.png,8,17
16184.png,8,24
22885.png,3,12
47588.png,19,15
79516.png,8,12
29766.png,8,12
10130.png,8,12
57238.png,3,5
2846.png,8,23
75435.png,8,11
42192.png,1,20
53332.png,7,16
1140.png,6,9
16520.png,8,0
41025.png,14,8
23114.png,19,27
35681.png,9,3
45653.png,8,1
33281.png,8,18
66999.png,4,2
35271.png,8,22
50968.png,8,22
33072.png,15,17
11115.png,15,17
3777.png,15,4
33375.png,8,12
67256.png,8,10
51572.png,15,28
37884.png,6,26
42822.png,8,23
66623.png,8,25
2757.png,16,9
57402.png,8,16
45517.png,3,17
64028.png,6,1
53117.png,11,8
22547.png,5,10
56306.png,16,9
76371.png,8,5
30403.png,8,24
37638.png,8,7
54238.png,5,12
44082.png,8,26
1958.png,14,26
54306.png,8,10
15606.png,9,11
18993.png,19,12
14368.png,17,21
34115.png,8,26
80444.png,19,7
80442.png,11,16
9701.png,2,5
3014.png,17,21
46482.png,0,19
3235.png,8,27
16945.png,15,2
2444.png,8,25
24169.png,8,8
77387.png,8,0
61623.png,9,29
66872.png,6,12
11442.png,2,10
62563.png,12,5
1885.png,9,15
67652.png,3,16
57152.png,16,1
78793.png,8,6
9502.png,7,29
55900.png,7,20
80645.png,8,10
62612.png,3,1
57449.png,2,10
1950.png,18,23
20888.png,8,7
35498.png,2,17
22260.png,1,22
17597.png,19,2
43818.png,0,10
44263.png,13,22
56702.png,5,20
60456.png,9,19
14678.png,8,0
25151.png,15,13
80369.png,8,0
36698.png,15,13
60472.png,0,2
62680.png,8,14
38954.png,8,7
64600.png,8,7
78370.png,1,28
45092.png,19,25
37103.png,19,17
45428.png,3,26
66379.png,13,21
23939.png,8,19
22369.png,8,18
43839.png,8,22
71466.png,8,19
51061.png,5,19
22487.png,3,3
50039.png,8,10
21660.png,19,12
79459.png,18,10
16984.png,8,21
71696.png,8,4
24793.png,8,5
16879.png,8,19
14933.png,8,16
69539.png,19,8
30511.png,1,20
59825.png,18,5
59594.png,15,15
39442.png,8,10
23191.png,8,0
69173.png,10,26
8310.png,11,16
33133.png,16,11
26053.png,0,14
25191.png,1,14
12576.png,2,18
65246.png,8,19
69637.png,8,9
32538.png,2,23
31512.png,7,20
20951.png,19,10
11403.png,10,1
5071.png,8,25
54364.png,5,19
16204.png,18,23
49063.png,15,11
44518.png,3,7
19613.png,8,14
57131.png,1,22
25935.png,8,9
76746.png,8,20
73976.png,2,29
12467.png,6,1
70872.png,8,11
70267.png,8,18
59451.png,8,7
77507.png,13,18
36486.png,18,7
66732.png,6,4
55303.png,16,3
59096.png,3,26
74165.png,19,20
48283.png,15,16
55666.png,3,26
27801.png,18,23
52099.png,10,2
35529.png,12,9
38096.png,15,16
9303.png,16,8
55703.png,8,22
65905.png,8,7
22605.png,3,29
36976.png,3,5
62286.png,3,7
44234.png,17,13
