base_cluster,other_cluster,options,outlier_id,last_option,phi_pick,qwen_pick
"[0, 14]","[19, 14]","['1261', '75707', '42604', '64729', '80522']",64729,80522,80522,80522
"[0, 14]","[19, 14]","['42604', '37963', '1261', '26372', '80522']",26372,80522,26372,37963
"[0, 14]","[19, 14]","['42604', '39894', '37963', '80522', '26703']",26703,26703,26703,26703
"[0, 7]","[14, 7]","['65801', '51393', '72266', '66807', '10984']",51393,10984,10984,51393
"[0, 7]","[3, 7]","['4286', '65801', '66807', '72266', '10984']",4286,10984,10984,10984
"[0, 7]","[3, 7]","['66807', '65801', '15613', '72266', '19992']",19992,19992,19992,19992
"[14, 7]","[0, 7]","['51393', '10984', '25607', '77045', '67483']",10984,67483,51393,10984
"[14, 7]","[0, 7]","['51393', '77045', '67483', '25607', '10984']",10984,10984,10984,77045
"[14, 7]","[0, 7]","['77045', '38835', '67483', '51393', '65801']",65801,65801,51393,65801
"[14, 7]","[3, 7]","['38835', '77045', '25607', '67483', '73164']",73164,73164,73164,73164
"[14, 8]","[19, 8]","['28694', '39691', '28732', '46039', '6777']",6777,6777,6777,6777
"[14, 8]","[19, 8]","['28694', '71082', '40877', '28732', '46039']",71082,46039,28732,71082
"[14, 8]","[19, 8]","['40877', '28694', '46039', '39691', '36396']",36396,36396,36396,36396
"[15, 13]","[19, 13]","['43396', '20590', '42684', '25079', '24364']",43396,24364,25079,20590
"[15, 17]","[3, 17]","['1225', '11908', '53579', '47834', '60915']",53579,60915,60915,11908
"[15, 17]","[3, 17]","['47834', '1225', '11908', '54792', '60915']",54792,60915,60915,54792
"[15, 21]","[17, 21]","['3384', '13497', '9795', '7489', '20839']",9795,20839,20839,20839
"[15, 28]","[3, 28]","['3258', '42226', '67905', '38548', '10526']",42226,10526,10526,5
"[15, 28]","[3, 28]","['67905', '3258', '10526', '42226', '23274']",42226,23274,42226,23274
"[17, 18]","[19, 18]","['30721', '6955', '21408', '31693', '66316']",30721,66316,31693,66316
"[17, 18]","[19, 18]","['55086', '21543', '70105', '66935', '21408']",55086,21408,66935,55086
"[17, 18]","[19, 18]","['66935', '41277', '31693', '21408', '21543']",41277,21543,21408,21543
"[17, 21]","[15, 21]","['78147', '3384', '69704', '9795', '62549']",3384,62549,9795,62549
"[17, 21]","[3, 21]","['40487', '9795', '53064', '78147', '62549']",53064,62549,78147,53064
"[17, 21]","[3, 21]","['69704', '62549', '40487', '9795', '47060']",47060,47060,9795,47060
"[17, 21]","[3, 21]","['9795', '62549', '42206', '78147', '40487']",42206,40487,78147,40487
"[17, 5]","[3, 5]","['72055', '33045', '7913', '50221', '63514']",63514,63514,50221,63514
"[17, 5]","[3, 5]","['7913', '63514', '72055', '33045', '50221']",63514,50221,33045,50221
"[18, 25]","[19, 25]","['47247', '4132', '73827', '25711', '3282']",47247,3282,3282,4132
"[18, 25]","[19, 25]","['47247', '4132', '73827', '3282', '25711']",47247,25711,25711,4132
"[19, 13]","[15, 13]","['35479', '20590', '37914', '42612', '43324']",20590,43324,43324,35479
"[19, 13]","[15, 13]","['35479', '43396', '25079', '26354', '42612']",25079,42612,26354,43396
"[19, 14]","[0, 14]","['64729', '26703', '39894', '72517', '26372']",39894,26372,26372,39894
"[19, 18]","[17, 18]","['21543', '55086', '49556', '41277', '30721']",21543,30721,41277,55086
"[19, 18]","[17, 18]","['30721', '35149', '41277', '55086', '46660']",46660,46660,46660,46660
"[19, 18]","[17, 18]","['35149', '36535', '58616', '55086', '46660']",46660,46660,58616,35149
"[19, 18]","[17, 18]","['35149', '74633', '46660', '58616', '36535']",46660,36535,36535,36535
"[19, 18]","[17, 18]","['49556', '70105', '29042', '55086', '41277']",70105,41277,55086,70105
"[19, 18]","[17, 18]","['55086', '29042', '66316', '35149', '49556']",66316,49556,35149,55086
"[19, 25]","[18, 25]","['3282', '74532', '47247', '59747', '33749']",3282,33749,47247,59747
"[19, 25]","[18, 25]","['59747', '74532', '26994', '47247', '4132']",4132,4132,4132,59747
"[19, 25]","[18, 25]","['62071', '33749', '26994', '47247', '74532']",62071,74532,47247,74532
"[19, 28]","[3, 28]","['42272', '40111', '55589', '52721', '42226']",42226,42226,55589,42272
"[19, 28]","[3, 28]","['42272', '43363', '55589', '55090', '40111']",55090,40111,40111,40111
"[19, 5]","[17, 5]","['32569', '76431', '72346', '55314', '72055']",72055,72055,55314,72055
"[19, 5]","[17, 5]","['59952', '72055', '32569', '55314', '76431']",72055,76431,76431,72055
"[19, 5]","[17, 5]","['76431', '63902', '32569', '33045', '59952']",33045,59952,59952,63902
"[19, 8]","[14, 8]","['46039', '6777', '36396', '71082', '19346']",46039,19346,19346,6777
"[19, 8]","[14, 8]","['71082', '36396', '6777', '46039', '19346']",46039,19346,46039,46039
"[3, 17]","[15, 17]","['12043', '60915', '38478', '33084', '54792']",60915,54792,38478,54792
"[3, 17]","[15, 17]","['1225', '38478', '12043', '64047', '33084']",1225,33084,64047,33084
"[3, 17]","[15, 17]","['33084', '54792', '12043', '60915', '53579']",60915,53579,60915,53579
"[3, 17]","[15, 17]","['53579', '64047', '38478', '33084', '60915']",60915,60915,33084,33084
"[3, 17]","[15, 17]","['54792', '33084', '12043', '38478', '47834']",47834,47834,47834,54792
"[3, 17]","[15, 17]","['54792', '38478', '1225', '64047', '12043']",1225,12043,12043,1225
"[3, 17]","[15, 17]","['54792', '38478', '53579', '12043', '47834']",47834,47834,47834,53579
"[3, 21]","[15, 21]","['14038', '57272', '42206', '7489', '47060']",7489,47060,7489,57272
"[3, 21]","[15, 21]","['53064', '42206', '13497', '14038', '47060']",13497,47060,13497,47060
"[3, 21]","[15, 21]","['57272', '42206', '14038', '47060', '20839']",20839,20839,20839,57272
"[3, 21]","[17, 21]","['40487', '47060', '53064', '57272', '42206']",40487,42206,42206,42206
"[3, 26]","[9, 26]","['11033', '49864', '68096', '50181', '1064']",50181,1064,50181,50181
"[3, 26]","[9, 26]","['11033', '50181', '68096', '9147', '72586']",50181,72586,9147,50181
"[3, 26]","[9, 26]","['32729', '68096', '50181', '72586', '50906']",50181,50906,50906,50906
"[3, 26]","[9, 26]","['34449', '40031', '1064', '11033', '7474']",7474,7474,11033,34449
"[3, 26]","[9, 26]","['40031', '27788', '72586', '1064', '50906']",27788,50906,1064,50906
"[3, 28]","[15, 28]","['42226', '12683', '8257', '10526', '55090']",10526,55090,10526,55090
"[3, 28]","[15, 28]","['8257', '55090', '73823', '10526', '42226']",10526,42226,10526,55090
"[3, 28]","[19, 28]","['42226', '73823', '8257', '52721', '55090']",52721,55090,52721,55090
"[3, 3]","[7, 3]","['10017', '10131', '994', '22487', '64781']",64781,64781,64781,64781
"[3, 3]","[7, 3]","['22002', '72700', '75828', '10131', '22487']",75828,22487,22487,75828
"[3, 3]","[7, 3]","['994', '72700', '22002', '10017', '61767']",61767,61767,10017,72700
"[3, 3]","[9, 3]","['22487', '10017', '22002', '14914', '994']",14914,994,994,994
"[3, 3]","[9, 3]","['30004', '10017', '994', '64671', '10131']",64671,10131,994,10131
"[3, 3]","[9, 3]","['72700', '74662', '10131', '10017', '30004']",74662,30004,30004,74662
"[3, 3]","[9, 3]","['994', '1268', '72700', '30004', '10131']",1268,10131,72700,10131
"[3, 4]","[5, 4]","['11039', '20671', '9383', '35787', '70560']",70560,70560,70560,70560
"[3, 4]","[9, 4]","['11039', '20671', '80219', '35787', '9383']",80219,9383,35787,9383
