base_cluster,other_cluster,group,outlier_id,options
"[3, 17]","[19, 18]","['64047', '38478', '33084', '54792', '41277']",41277,"['33084', '38478', '64047', '41277', '54792']"
"[15, 28]","[9, 11]","['23274', '10526', '67905', '3258', '335']",335,"['67905', '3258', '335', '23274', '10526']"
"[19, 13]","[9, 11]","['42612', '35479', '43396', '26354', '335']",335,"['43396', '35479', '26354', '335', '42612']"
"[15, 28]","[19, 18]","['3258', '67905', '10526', '38548', '74633']",74633,"['3258', '10526', '38548', '74633', '67905']"
"[19, 10]","[9, 26]","['25168', '73023', '21540', '55791', '50181']",50181,"['55791', '50181', '25168', '21540', '73023']"
"[0, 2]","[3, 28]","['59390', '67842', '80744', '44125', '42226']",42226,"['59390', '67842', '44125', '80744', '42226']"
"[19, 5]","[3, 7]","['72346', '63902', '55314', '59952', '4286']",4286,"['59952', '55314', '63902', '72346', '4286']"
"[19, 5]","[5, 22]","['76431', '59952', '55314', '17017', '57572']",57572,"['57572', '76431', '17017', '59952', '55314']"
"[14, 9]","[3, 4]","['26506', '40550', '6508', '14102', '9383']",9383,"['14102', '26506', '9383', '6508', '40550']"
"[14, 8]","[0, 6]","['40877', '39691', '28694', '28732', '41154']",41154,"['41154', '40877', '39691', '28694', '28732']"
"[14, 7]","[3, 12]","['25607', '77045', '51393', '38835', '1181']",1181,"['38835', '51393', '77045', '25607', '1181']"
"[17, 21]","[15, 17]","['78147', '9795', '40487', '62454', '47834']",47834,"['40487', '78147', '9795', '47834', '62454']"
"[7, 1]","[3, 3]","['12376', '53652', '17550', '8109', '22487']",22487,"['12376', '53652', '22487', '17550', '8109']"
"[3, 4]","[9, 26]","['20671', '11039', '9383', '35787', '7474']",7474,"['11039', '20671', '35787', '7474', '9383']"
"[3, 5]","[19, 28]","['63514', '12162', '74226', '64', '55589']",55589,"['55589', '74226', '64', '12162', '63514']"
"[19, 28]","[4, 27]","['42272', '40111', '43363', '23197', '70239']",70239,"['70239', '23197', '43363', '42272', '40111']"
"[7, 3]","[18, 23]","['64781', '75828', '52457', '61767', '26052']",26052,"['64781', '26052', '75828', '61767', '52457']"
"[19, 18]","[3, 7]","['35149', '58616', '41277', '49556', '37907']",37907,"['35149', '41277', '58616', '49556', '37907']"
"[9, 4]","[19, 14]","['50510', '79413', '64614', '80219', '26372']",26372,"['80219', '26372', '64614', '50510', '79413']"
"[0, 0]","[14, 8]","['28082', '14834', '78009', '8176', '39691']",39691,"['14834', '8176', '78009', '39691', '28082']"
"[3, 21]","[19, 13]","['42206', '14038', '57272', '47060', '42612']",42612,"['42612', '42206', '47060', '57272', '14038']"
"[19, 18]","[9, 4]","['49556', '55086', '74633', '58616', '50510']",50510,"['49556', '50510', '74633', '58616', '55086']"
"[3, 3]","[0, 6]","['10017', '72700', '22487', '30004', '25447']",25447,"['22487', '30004', '10017', '25447', '72700']"
"[5, 19]","[9, 4]","['60473', '77183', '35619', '51211', '79413']",79413,"['79413', '77183', '51211', '60473', '35619']"
"[3, 26]","[19, 25]","['40031', '49864', '19246', '1064', '47247']",47247,"['47247', '19246', '40031', '49864', '1064']"
"[19, 5]","[9, 4]","['63902', '32569', '17017', '59952', '80219']",80219,"['17017', '32569', '80219', '63902', '59952']"
