base_cluster,other_cluster,group,outlier_id,options
"[15, 17]","[3, 17]","['60915', '47834', '11908', '1225', '54792']",54792,"['1225', '47834', '11908', '54792', '60915']"
"[3, 17]","[15, 17]","['33084', '12043', '38478', '53579', '60915']",60915,"['12043', '60915', '53579', '38478', '33084']"
"[3, 21]","[15, 21]","['47060', '53064', '57272', '14038', '7489']",7489,"['57272', '53064', '7489', '47060', '14038']"
"[3, 17]","[15, 17]","['33084', '54792', '64047', '38478', '11908']",11908,"['33084', '11908', '54792', '38478', '64047']"
"[3, 21]","[15, 21]","['47060', '42206', '14038', '57272', '20839']",20839,"['42206', '14038', '20839', '57272', '47060']"
"[3, 21]","[15, 21]","['57272', '53064', '14038', '42206', '13497']",13497,"['42206', '13497', '53064', '57272', '14038']"
"[15, 28]","[3, 28]","['67905', '10526', '3258', '38548', '55090']",55090,"['38548', '10526', '67905', '3258', '55090']"
"[15, 17]","[3, 17]","['60915', '11908', '47834', '1225', '53579']",53579,"['1225', '53579', '11908', '47834', '60915']"
"[15, 28]","[3, 28]","['23274', '38548', '67905', '3258', '8257']",8257,"['8257', '23274', '38548', '67905', '3258']"
"[3, 28]","[15, 28]","['12683', '55090', '42226', '73823', '38548']",38548,"['73823', '42226', '12683', '38548', '55090']"
"[3, 28]","[15, 28]","['8257', '55090', '42226', '12683', '3258']",3258,"['12683', '55090', '3258', '8257', '42226']"
"[15, 28]","[3, 28]","['10526', '3258', '38548', '23274', '12683']",12683,"['10526', '38548', '23274', '3258', '12683']"
"[3, 17]","[15, 17]","['38478', '54792', '64047', '53579', '47834']",47834,"['38478', '47834', '64047', '53579', '54792']"
"[3, 28]","[15, 28]","['12683', '55090', '73823', '42226', '10526']",10526,"['73823', '42226', '10526', '55090', '12683']"
"[15, 21]","[3, 21]","['3384', '20839', '13497', '7489', '53064']",53064,"['7489', '13497', '20839', '3384', '53064']"
"[3, 17]","[15, 17]","['53579', '33084', '64047', '38478', '11908']",11908,"['33084', '11908', '38478', '64047', '53579']"
"[3, 21]","[15, 21]","['14038', '53064', '42206', '47060', '20839']",20839,"['47060', '42206', '14038', '53064', '20839']"
"[15, 17]","[3, 17]","['60915', '47834', '1225', '11908', '12043']",12043,"['11908', '12043', '1225', '60915', '47834']"
"[3, 28]","[15, 28]","['8257', '42226', '12683', '73823', '23274']",23274,"['42226', '8257', '73823', '23274', '12683']"
"[15, 28]","[3, 28]","['67905', '3258', '23274', '10526', '73823']",73823,"['73823', '67905', '23274', '3258', '10526']"
"[15, 28]","[3, 28]","['3258', '38548', '67905', '23274', '73823']",73823,"['23274', '67905', '3258', '38548', '73823']"
"[15, 28]","[3, 28]","['38548', '67905', '23274', '10526', '42226']",42226,"['38548', '23274', '67905', '42226', '10526']"
"[3, 21]","[15, 21]","['42206', '53064', '47060', '57272', '20839']",20839,"['20839', '53064', '47060', '42206', '57272']"
