base_cluster,other_cluster,options,outlier_id,predicted_id,raw_response
3,"[0, 0]","['12043', '12683', '59100', '8176', '64047']",8176,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
19,"[3, 26]","['63902', '55314', '26372', '49864', '73023']",49864,** 4,"1. **Different example:** 4
2. **Why:** The common room is located in the top left corner, while in the other examples it is in the bottom right corner."
0,"[3, 5]","['63508', '62759', '63514', '44802', '78009']",63514,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
15,"[9, 3]","['67905', '74662', '24364', '1225', '34763']",74662,** 4,"1. **Different example:** 4
2. **Why:** The common room is located in the top left corner, while in the other examples it is in the bottom right corner."
3,"[7, 1]","['1064', '55090', '73823', '54792', '17550']",17550,** 4,"1. **Different example:** 4
2. **Why:** The common room is located in the top left corner, while in the other four examples it is located in the bottom right corner."
14,"[19, 13]","['77045', '26354', '28732', '6508', '25607']",26354,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
19,"[3, 5]","['64', '71082', '59747', '74633', '41277']",64,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
0,"[9, 26]","['10984', '70440', '7474', '37989', '43995']",7474,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
18,"[19, 28]","['43363', '65195', '3282', '15451', '61353']",43363,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
0,"[14, 9]","['37963', '48095', '27625', '43995', '26678']",26678,** 4,"1. **Different example:** 4
2. **Why:** The common room is located in the top left corner, while in the other four examples it is located in the bottom right corner."
9,"[7, 3]","['74662', '64671', '23716', '52457', '1268']",52457,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
17,"[14, 8]","['50221', '69704', '46039', '46660', '62549']",46039,** 4,"1. **Different example:** 4
2. **Why:** The common room is located in the top left corner, while in the other four examples it is located in the bottom right corner."
19,"[3, 4]","['74633', '43324', '76431', '26372', '11039']",11039,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
9,"[7, 1]","['23716', '15606', '12376', '30907', '61914']",12376,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
15,"[9, 3]","['9662', '1225', '7489', '23274', '38548']",9662,** 4,"1. **Different example:** 4
2. **Why:** The common room is located in the top left corner, while in the other four examples it is located in the bottom right corner."
15,"[19, 28]","['34763', '60915', '47834', '23197', '3258']",23197,** 4,"1. **Different example:** 4
2. **Why:** The common room is located in the top left corner, while in the other four examples it is in the bottom right corner."
15,"[7, 1]","['11908', '25079', '20839', '10526', '53652']",53652,** 5,"1. **Different example:** 5
2. **Why:** The common room is missing in example 5."
3,"[5, 29]","['74226', '18887', '52548', '50906', '55090']",52548,** 4,"1. **Different example:** 4
2. **Why:** The common room is located in the top left corner, while in the other four examples it is in the bottom right corner."
9,"[3, 26]","['34449', '23716', '52758', '1268', '27788']",34449,** 4,"1. **Different example:** 4
2. **Why:** The common room is missing in example 4."
