filename,cluster,shape_category,file_no,complex_tag
62610.png,0,5,62610,0_5
47588.png,19,15,47588,19_15
22547.png,5,10,22547,5_10
15606.png,9,11,15606,9_11
56702.png,5,20,56702,5_20
36698.png,15,13,36698,15_13
22487.png,3,3,22487,3_3
28400.png,18,18,28400,18_18
64149.png,0,15,64149,0_15
33069.png,7,12,33069,7_12
47407.png,13,5,47407,13_5
61434.png,18,7,61434,18_7
28732.png,14,8,28732,14_8
12369.png,3,0,12369,3_0
71908.png,0,8,71908,0_8
78290.png,12,0,78290,12_0
14914.png,9,3,14914,9_3
38380.png,15,6,38380,15_6
27172.png,19,19,27172,19_19
45218.png,0,2,45218,0_2
9147.png,3,26,9147,3_26
42151.png,18,23,42151,18_23
76431.png,19,5,76431,19_5
62304.png,5,8,62304,5_8
60649.png,3,16,60649,3_16
40084.png,0,15,40084,0_15
2425.png,7,20,2425,7_20
62071.png,18,25,62071,18_25
48780.png,0,24,48780,0_24
27087.png,19,27,27087,19_27
18636.png,14,27,18636,14_27
28959.png,17,0,28959,17_0
10433.png,18,23,10433,18_23
43375.png,0,6,43375,0_6
15782.png,0,28,15782,0_28
60915.png,15,17,60915,15_17
27208.png,9,28,27208,9_28
75203.png,17,8,75203,17_8
60306.png,19,5,60306,19_5
26755.png,18,23,26755,18_23
31693.png,17,18,31693,17_18
31030.png,3,3,31030,3_3
11746.png,3,16,11746,3_16
63077.png,5,19,63077,5_19
64671.png,9,3,64671,9_3
63514.png,3,5,63514,3_5
29042.png,19,18,29042,19_18
42749.png,19,24,42749,19_24
14038.png,3,21,14038,3_21
62752.png,18,1,62752,18_1
57907.png,17,17,57907,17_17
63342.png,9,1,63342,9_1
38548.png,15,28,38548,15_28
18332.png,18,14,18332,18_14
70105.png,17,18,70105,17_18
32703.png,0,2,32703,0_2
33274.png,19,27,33274,19_27
25667.png,18,23,25667,18_23
53064.png,3,21,53064,3_21
80233.png,3,6,80233,3_6
23435.png,0,15,23435,0_15
177.png,3,16,177,3_16
47060.png,3,21,47060,3_21
41154.png,0,6,41154,0_6
30786.png,12,7,30786,12_7
23274.png,15,28,23274,15_28
44445.png,19,19,44445,19_19
80113.png,5,25,80113,5_25
41277.png,19,18,41277,19_18
35149.png,19,18,35149,19_18
49615.png,5,24,49615,5_24
39708.png,14,9,39708,14_9
49973.png,19,25,49973,19_25
63485.png,5,4,63485,5_4
35135.png,18,10,35135,18_10
67573.png,18,29,67573,18_29
12888.png,4,27,12888,4_27
33141.png,15,16,33141,15_16
17467.png,15,18,17467,15_18
26506.png,14,9,26506,14_9
77032.png,13,18,77032,13_18
42565.png,15,3,42565,15_3
30898.png,7,10,30898,7_10
39894.png,0,14,39894,0_14
35583.png,0,15,35583,0_15
32105.png,18,23,32105,18_23
19346.png,19,8,19346,19_8
2277.png,7,20,2277,7_20
24258.png,5,18,24258,5_18
76891.png,18,23,76891,18_23
20502.png,18,23,20502,18_23
40031.png,3,26,40031,3_26
61353.png,18,23,61353,18_23
24409.png,19,0,24409,19_0
22698.png,15,12,22698,15_12
66638.png,3,6,66638,3_6
38835.png,14,7,38835,14_7
22203.png,19,27,22203,19_27
34891.png,3,14,34891,3_14
40841.png,0,2,40841,0_2
63409.png,10,3,63409,10_3
47276.png,9,27,47276,9_27
76066.png,3,27,76066,3_27
11949.png,0,27,11949,0_27
20968.png,3,12,20968,3_12
50361.png,14,19,50361,14_19
24364.png,15,13,24364,15_13
25618.png,19,10,25618,19_10
19484.png,14,3,19484,14_3
61461.png,0,15,61461,0_15
42583.png,18,0,42583,18_0
42597.png,18,10,42597,18_10
65678.png,3,13,65678,3_13
78682.png,18,23,78682,18_23
37928.png,13,22,37928,13_22
6910.png,19,10,6910,19_10
4186.png,9,11,4186,9_11
41897.png,9,11,41897,9_11
28694.png,14,8,28694,14_8
61767.png,7,3,61767,7_3
46586.png,0,29,46586,0_29
12421.png,7,1,12421,7_1
44125.png,0,2,44125,0_2
14517.png,3,13,14517,3_13
57386.png,3,15,57386,3_15
17017.png,19,5,17017,19_5
56263.png,3,19,56263,3_19
51240.png,17,18,51240,17_18
40487.png,17,21,40487,17_21
64614.png,9,4,64614,9_4
15593.png,9,1,15593,9_1
58802.png,17,17,58802,17_17
7872.png,19,21,7872,19_21
52838.png,15,11,52838,15_11
6955.png,17,18,6955,17_18
33084.png,3,17,33084,3_17
34523.png,19,7,34523,19_7
34307.png,19,2,34307,19_2
20393.png,3,8,20393,3_8
39274.png,7,28,39274,7_28
35343.png,0,15,35343,0_15
64148.png,18,23,64148,18_23
9639.png,0,2,9639,0_2
41191.png,14,2,41191,14_2
12683.png,3,28,12683,3_28
72517.png,19,14,72517,19_14
38373.png,5,3,38373,5_3
75692.png,13,11,75692,13_11
6030.png,10,1,6030,10_1
20490.png,9,10,20490,9_10
77183.png,5,19,77183,5_19
39130.png,19,25,39130,19_25
9777.png,3,11,9777,3_11
26372.png,19,14,26372,19_14
57316.png,5,29,57316,5_29
26703.png,19,14,26703,19_14
64781.png,7,3,64781,7_3
36447.png,0,21,36447,0_21
59605.png,12,16,59605,12_16
866.png,12,17,866,12_17
20590.png,15,13,20590,15_13
29106.png,18,7,29106,18_7
40550.png,14,9,40550,14_9
27180.png,17,7,27180,17_7
25424.png,0,27,25424,0_27
74532.png,19,25,74532,19_25
77045.png,14,7,77045,14_7
77611.png,3,16,77611,3_16
55791.png,19,10,55791,19_10
3536.png,7,1,3536,7_1
67872.png,19,15,67872,19_15
13813.png,12,16,13813,12_16
1181.png,3,12,1181,3_12
27552.png,4,17,27552,4_17
31113.png,7,22,31113,7_22
9837.png,3,18,9837,3_18
30721.png,19,18,30721,19_18
9662.png,9,3,9662,9_3
18055.png,15,1,18055,15_1
8461.png,0,24,8461,0_24
76978.png,0,27,76978,0_27
23381.png,18,0,23381,18_0
38644.png,18,11,38644,18_11
74202.png,4,29,74202,4_29
19886.png,3,14,19886,3_14
40877.png,14,8,40877,14_8
60683.png,3,22,60683,3_22
55305.png,7,20,55305,7_20
9314.png,0,4,9314,0_4
46107.png,17,27,46107,17_27
7489.png,15,21,7489,15_21
40699.png,5,19,40699,5_19
44206.png,0,12,44206,0_12
45437.png,3,19,45437,3_19
55314.png,19,5,55314,19_5
20671.png,3,4,20671,3_4
72055.png,17,5,72055,17_5
59747.png,19,25,59747,19_25
54505.png,15,28,54505,15_28
25607.png,14,7,25607,14_7
79630.png,19,25,79630,19_25
33602.png,12,11,33602,12_11
36725.png,15,25,36725,15_25
46660.png,17,18,46660,17_18
67312.png,12,25,67312,12_25
51831.png,0,2,51831,0_2
12624.png,3,3,12624,3_3
18711.png,5,29,18711,5_29
43902.png,5,16,43902,5_16
56563.png,13,7,56563,13_7
77098.png,3,26,77098,3_26
5222.png,4,27,5222,4_27
72365.png,18,23,72365,18_23
79411.png,7,22,79411,7_22
33588.png,19,15,33588,19_15
61129.png,19,23,61129,19_23
48131.png,19,20,48131,19_20
32642.png,4,11,32642,4_11
21540.png,19,10,21540,19_10
40817.png,18,23,40817,18_23
19480.png,3,3,19480,3_3
15175.png,0,5,15175,0_5
21408.png,17,18,21408,17_18
18677.png,12,9,18677,12_9
7217.png,5,22,7217,5_22
23197.png,19,28,23197,19_28
32569.png,19,5,32569,19_5
69340.png,0,8,69340,0_8
66384.png,17,26,66384,17_26
57787.png,19,27,57787,19_27
52758.png,9,11,52758,9_11
28195.png,10,26,28195,10_26
21399.png,18,9,21399,18_9
5137.png,9,1,5137,9_1
78009.png,0,0,78009,0_0
72504.png,5,12,72504,5_12
2791.png,3,13,2791,3_13
29069.png,19,24,29069,19_24
70407.png,0,4,70407,0_4
61122.png,15,10,61122,15_10
15972.png,3,26,15972,3_26
47247.png,19,25,47247,19_25
66847.png,0,2,66847,0_2
38478.png,3,17,38478,3_17
50906.png,3,26,50906,3_26
71887.png,5,11,71887,5_11
28082.png,0,0,28082,0_0
2709.png,15,24,2709,15_24
43657.png,18,5,43657,18_5
58037.png,0,2,58037,0_2
58837.png,0,15,58837,0_15
26469.png,18,6,26469,18_6
18831.png,3,16,18831,3_16
11846.png,14,13,11846,14_13
67188.png,18,15,67188,18_15
54232.png,5,19,54232,5_19
34449.png,3,26,34449,3_26
63089.png,5,19,63089,5_19
42684.png,15,13,42684,15_13
37646.png,12,8,37646,12_8
19908.png,7,27,19908,7_27
56017.png,3,16,56017,3_16
10743.png,5,19,10743,5_19
51393.png,14,7,51393,14_7
27788.png,9,26,27788,9_26
42699.png,0,15,42699,0_15
17291.png,0,14,17291,0_14
78147.png,17,21,78147,17_21
35479.png,19,13,35479,19_13
40679.png,7,22,40679,7_22
15613.png,0,7,15613,0_7
20344.png,13,13,20344,13_13
25079.png,15,13,25079,15_13
7474.png,9,26,7474,9_26
77015.png,18,23,77015,18_23
35725.png,5,4,35725,5_4
43629.png,0,2,43629,0_2
24719.png,15,16,24719,15_16
67842.png,0,2,67842,0_2
4770.png,17,26,4770,17_26
46569.png,9,5,46569,9_5
71082.png,19,8,71082,19_8
43745.png,12,16,43745,12_16
18887.png,3,26,18887,3_26
1992.png,3,6,1992,3_6
43995.png,0,2,43995,0_2
78144.png,7,28,78144,7_28
61861.png,5,12,61861,5_12
27058.png,19,17,27058,19_17
8867.png,10,11,8867,10_11
70684.png,17,15,70684,17_15
67754.png,19,15,67754,19_15
43713.png,3,20,43713,3_20
47500.png,3,20,47500,3_20
60366.png,5,15,60366,5_15
26109.png,18,5,26109,18_5
1453.png,0,2,1453,0_2
43419.png,13,20,43419,13_20
30463.png,5,18,30463,5_18
14951.png,3,6,14951,3_6
44349.png,0,14,44349,0_14
64047.png,3,17,64047,3_17
994.png,3,3,994,3_3
57938.png,18,6,57938,18_6
62549.png,17,21,62549,17_21
2363.png,3,27,2363,3_27
39579.png,18,29,39579,18_29
77349.png,5,22,77349,5_22
6508.png,14,9,6508,14_9
17294.png,15,2,17294,15_2
44473.png,9,16,44473,9_16
20464.png,7,12,20464,7_12
36169.png,18,10,36169,18_10
42612.png,19,13,42612,19_13
64765.png,5,24,64765,5_24
12376.png,7,1,12376,7_1
23132.png,7,22,23132,7_22
57272.png,3,21,57272,3_21
5356.png,18,7,5356,18_7
30859.png,3,7,30859,3_7
59222.png,3,11,59222,3_11
8805.png,9,18,8805,9_18
72346.png,19,5,72346,19_5
50037.png,5,27,50037,5_27
26881.png,18,6,26881,18_6
42206.png,3,21,42206,3_21
71829.png,19,17,71829,19_17
64094.png,5,25,64094,5_25
27954.png,14,22,27954,14_22
59390.png,0,2,59390,0_2
65276.png,0,2,65276,0_2
28978.png,12,16,28978,12_16
45493.png,15,28,45493,15_28
64247.png,18,23,64247,18_23
6216.png,18,23,6216,18_23
35787.png,3,4,35787,3_4
76684.png,13,15,76684,13_15
49732.png,7,7,49732,7_7
46318.png,14,21,46318,14_21
7913.png,17,5,7913,17_5
12043.png,3,17,12043,3_17
59100.png,3,16,59100,3_16
54372.png,7,20,54372,7_20
39950.png,3,1,39950,3_1
5977.png,19,20,5977,19_20
