base_cluster,other_cluster,group,outlier_id,options
"[3, 7]","[4, 27]","['73164', '30859', '4286', '19796', '77515']",77515,"['73164', '19796', '4286', '30859', '77515']"
"[19, 28]","[3, 17]","['43363', '42272', '55589', '52721', '64047']",64047,"['52721', '43363', '55589', '64047', '42272']"
"[14, 8]","[7, 22]","['28732', '40877', '39691', '46039', '31113']",31113,"['28732', '40877', '31113', '46039', '39691']"
"[4, 27]","[19, 13]","['12888', '70239', '5222', '77515', '35479']",35479,"['35479', '77515', '12888', '5222', '70239']"
"[15, 21]","[0, 6]","['3384', '13497', '7489', '20839', '59474']",59474,"['13497', '59474', '20839', '7489', '3384']"
"[15, 13]","[9, 11]","['42684', '24364', '34763', '68970', '61914']",61914,"['24364', '68970', '42684', '34763', '61914']"
"[0, 2]","[19, 13]","['60860', '63508', '45218', '44145', '26354']",26354,"['44145', '26354', '60860', '63508', '45218']"
"[3, 5]","[19, 28]","['74226', '64', '63514', '12162', '55589']",55589,"['64', '55589', '63514', '74226', '12162']"
"[15, 28]","[0, 24]","['10526', '3258', '38548', '67905', '31926']",31926,"['31926', '10526', '67905', '38548', '3258']"
"[3, 4]","[19, 10]","['11039', '9383', '35787', '20671', '73023']",73023,"['11039', '35787', '9383', '73023', '20671']"
"[7, 3]","[19, 5]","['52457', '64781', '61767', '75828', '72346']",72346,"['61767', '72346', '64781', '75828', '52457']"
"[3, 5]","[17, 18]","['74226', '63514', '64', '12162', '46660']",46660,"['12162', '46660', '64', '63514', '74226']"
"[0, 24]","[15, 17]","['48780', '31926', '74418', '37989', '60915']",60915,"['31926', '37989', '74418', '60915', '48780']"
"[0, 14]","[9, 3]","['75707', '80522', '37963', '1261', '64671']",64671,"['64671', '75707', '37963', '1261', '80522']"
"[7, 3]","[3, 12]","['75828', '52457', '64781', '61767', '37955']",37955,"['75828', '61767', '37955', '64781', '52457']"
"[0, 7]","[5, 29]","['72266', '15613', '65801', '10984', '18711']",18711,"['18711', '10984', '72266', '65801', '15613']"
"[18, 25]","[3, 21]","['25711', '62071', '4132', '3282', '53064']",53064,"['3282', '62071', '25711', '4132', '53064']"
