base_cluster,other_cluster,group,outlier_id,options
"[0, 14]","[18, 23]","['42604', '37963', '17291', '39894', '48306']",48306,"['17291', '37963', '42604', '48306', '39894']"
"[3, 16]","[15, 13]","['56017', '59100', '177', '11746', '68970']",68970,"['177', '11746', '68970', '56017', '59100']"
"[0, 2]","[18, 23]","['51831', '45218', '44802', '48095', '61353']",61353,"['44802', '45218', '48095', '61353', '51831']"
"[15, 13]","[3, 5]","['20590', '25079', '34763', '24364', '63514']",63514,"['20590', '34763', '24364', '63514', '25079']"
"[15, 28]","[3, 12]","['67905', '38548', '23274', '3258', '1181']",1181,"['3258', '1181', '67905', '23274', '38548']"
"[3, 12]","[15, 28]","['1181', '37955', '27821', '20968', '67905']",67905,"['1181', '37955', '20968', '27821', '67905']"
"[0, 7]","[18, 25]","['66807', '10984', '65801', '15613', '25711']",25711,"['15613', '65801', '10984', '66807', '25711']"
"[15, 17]","[3, 16]","['11908', '1225', '47834', '60915', '59100']",59100,"['59100', '11908', '60915', '1225', '47834']"
"[18, 25]","[0, 6]","['25711', '73827', '3282', '62071', '41154']",41154,"['62071', '25711', '41154', '3282', '73827']"
"[3, 28]","[15, 28]","['55090', '42226', '73823', '12683', '23274']",23274,"['23274', '55090', '42226', '73823', '12683']"
"[18, 25]","[0, 0]","['25711', '4132', '62071', '73827', '14834']",14834,"['73827', '62071', '4132', '25711', '14834']"
"[3, 28]","[15, 13]","['55090', '73823', '8257', '42226', '24364']",24364,"['8257', '55090', '73823', '24364', '42226']"
"[3, 26]","[15, 21]","['49864', '19246', '72586', '1064', '7489']",7489,"['49864', '19246', '7489', '72586', '1064']"
"[3, 7]","[15, 28]","['30859', '73164', '19992', '4286', '38548']",38548,"['73164', '30859', '4286', '38548', '19992']"
"[3, 12]","[15, 28]","['20968', '37955', '1181', '27821', '3258']",3258,"['3258', '1181', '27821', '37955', '20968']"
"[15, 13]","[3, 17]","['34763', '68970', '20590', '42684', '64047']",64047,"['64047', '42684', '20590', '34763', '68970']"
"[3, 17]","[15, 21]","['33084', '64047', '12043', '54792', '13497']",13497,"['33084', '13497', '64047', '54792', '12043']"
"[3, 5]","[15, 21]","['64', '74226', '63514', '12162', '7489']",7489,"['64', '63514', '74226', '12162', '7489']"
"[3, 16]","[15, 13]","['63317', '59100', '56017', '177', '53137']",53137,"['177', '53137', '56017', '63317', '59100']"
"[3, 28]","[15, 21]","['8257', '55090', '73823', '12683', '20839']",20839,"['55090', '12683', '73823', '20839', '8257']"
"[7, 20]","[17, 5]","['2425', '2277', '54372', '55305', '7913']",7913,"['7913', '2425', '55305', '54372', '2277']"
"[3, 21]","[15, 28]","['53064', '14038', '47060', '57272', '38548']",38548,"['53064', '38548', '47060', '57272', '14038']"
