base_cluster,other_cluster,options,outlier_id,predicted_id,raw_response
"[19, 18]","[5, 29]","['29042', '58616', '30721', '55950', '35149']",55950,D,D
"[5, 29]","[9, 26]","['57316', '52548', '21765', '51743', '23716']",23716,E,E
"[9, 3]","[5, 22]","['1268', '14914', '77349', '64671', '74662']",77349,C,C
"[18, 23]","[17, 21]","['20502', '37360', '78682', '62454', '42151']",62454,D,D
"[19, 5]","[5, 22]","['32569', '76431', '77349', '63902', '59952']",77349,E,E
"[17, 18]","[19, 5]","['66316', '46660', '17017', '31693', '66935']",17017,C,C
"[15, 13]","[5, 29]","['34763', '53137', '24364', '20590', '57316']",57316,E,E
"[5, 29]","[19, 8]","['57316', '71082', '51743', '21765', '18711']",71082,B,B
"[15, 13]","[5, 22]","['24364', '25079', '77349', '53137', '42684']",77349,C,C
"[5, 4]","[19, 5]","['51114', '72346', '63485', '62609', '27706']",72346,B,B
"[15, 28]","[5, 29]","['18711', '23274', '38548', '67905', '10526']",18711,A,A
"[9, 3]","[19, 28]","['64671', '55589', '74662', '14914', '9662']",55589,C,C
"[15, 28]","[5, 19]","['67905', '38548', '23274', '3258', '51211']",51211,E,E
"[9, 11]","[19, 28]","['42272', '78534', '335', '41897', '30907']",42272,D,D
"[19, 8]","[9, 3]","['6777', '19346', '71082', '36396', '9662']",9662,C,C
"[7, 3]","[19, 18]","['61767', '55086', '75828', '52457', '64781']",55086,D,D
"[19, 28]","[7, 3]","['40111', '55589', '52721', '43363', '52457']",52457,E,E
"[17, 21]","[14, 7]","['69704', '9795', '78147', '51393', '62549']",51393,D,D
"[7, 1]","[15, 21]","['20839', '12376', '16951', '3536', '8109']",20839,D,D
"[17, 5]","[19, 14]","['72055', '33045', '64729', '50221', '7913']",64729,C,C
"[7, 1]","[19, 28]","['16951', '12421', '10825', '17550', '52721']",52721,E,E
"[15, 21]","[7, 1]","['13497', '7489', '3384', '20839', '53652']",53652,E,E
"[18, 25]","[17, 21]","['3282', '62071', '25711', '62549', '73827']",62549,C,C
"[19, 13]","[5, 19]","['60473', '35479', '37914', '43324', '26354']",60473,D,D
"[9, 26]","[19, 25]","['27788', '59747', '7474', '23716', '6759']",59747,B,B
"[19, 28]","[9, 11]","['52721', '42272', '4186', '55589', '43363']",4186,C,C
"[9, 11]","[19, 10]","['52758', '4186', '335', '41897', '21540']",21540,D,D
"[5, 19]","[19, 8]","['19346', '35619', '54232', '10743', '49189']",19346,E,E
"[19, 8]","[7, 3]","['36396', '64781', '6777', '19346', '71082']",64781,E,E
"[5, 4]","[19, 18]","['29042', '2004', '70560', '63485', '53032']",29042,D,D
"[7, 22]","[15, 28]","['40679', '23132', '3258', '79411', '31113']",3258,D,D
"[15, 21]","[5, 4]","['20839', '3384', '62609', '7489', '13497']",62609,C,C
"[18, 25]","[17, 18]","['3282', '73827', '62071', '4132', '66316']",66316,E,E
"[19, 13]","[7, 1]","['10825', '43396', '26354', '43324', '42612']",10825,A,A
"[9, 26]","[19, 10]","['27788', '7474', '23716', '6759', '55791']",55791,E,E
"[9, 4]","[5, 29]","['79413', '50510', '80219', '64614', '51743']",51743,E,E
"[5, 29]","[9, 11]","['52548', '57316', '15606', '51743', '18711']",15606,C,C
"[7, 1]","[15, 28]","['12421', '16951', '3536', '12376', '67905']",67905,E,E
"[19, 10]","[7, 3]","['61767', '25618', '25168', '73023', '55791']",61767,D,D
"[17, 18]","[14, 9]","['66316', '66935', '21543', '70105', '14102']",14102,E,E
"[9, 3]","[19, 10]","['14914', '74662', '9662', '64671', '21540']",21540,E,E
"[14, 8]","[15, 13]","['46039', '39691', '28732', '24364', '40877']",24364,D,D
"[19, 5]","[7, 1]","['63902', '3536', '32569', '59952', '17017']",3536,E,E
"[19, 13]","[9, 26]","['37914', '35479', '43324', '43396', '50181']",50181,E,E
"[15, 28]","[18, 23]","['3258', '38548', '67905', '23274', '26755']",26755,E,E
"[5, 29]","[19, 28]","['57316', '23197', '21765', '52548', '18711']",23197,C,C
"[19, 28]","[9, 26]","['52721', '23197', '42272', '43363', '7474']",7474,E,E
"[19, 28]","[17, 5]","['40111', '55589', '7913', '52721', '23197']",7913,C,C
"[17, 5]","[18, 25]","['50221', '7913', '25711', '72055', '33045']",25711,C,C
"[19, 13]","[9, 26]","['43324', '35479', '26354', '37914', '50181']",50181,E,E
"[9, 3]","[5, 19]","['64671', '1268', '9662', '35619', '74662']",35619,D,D
"[19, 13]","[17, 21]","['37914', '43396', '42612', '35479', '78147']",78147,E,E
"[5, 29]","[19, 18]","['57316', '51743', '49556', '21765', '52548']",49556,D,D
"[19, 25]","[9, 3]","['33749', '47247', '59747', '26994', '9662']",9662,E,E
"[19, 25]","[9, 4]","['50510', '47247', '74532', '33749', '59747']",50510,A,A
"[19, 13]","[9, 4]","['43396', '26354', '35479', '64614', '37914']",64614,D,D
"[5, 4]","[15, 13]","['27706', '51114', '42684', '35725', '70560']",42684,C,C
"[7, 3]","[15, 13]","['61767', '34763', '75828', '52457', '64781']",34763,D,D
"[9, 4]","[5, 19]","['79413', '80219', '64614', '50510', '77183']",77183,E,E
"[5, 29]","[15, 17]","['21765', '57316', '52548', '11908', '18711']",11908,D,D
"[7, 3]","[19, 14]","['64781', '61767', '75828', '52457', '26372']",26372,E,E
"[19, 5]","[5, 4]","['72346', '76431', '32569', '55314', '2004']",2004,E,E
"[15, 13]","[7, 3]","['42684', '64781', '25079', '20590', '34763']",64781,B,B
"[15, 17]","[5, 4]","['1225', '47834', '27706', '60915', '11908']",27706,C,C
"[15, 13]","[7, 1]","['34763', '24364', '25079', '42684', '53652']",53652,E,E
"[15, 17]","[7, 22]","['60915', '47834', '1225', '23132', '11908']",23132,D,D
"[19, 5]","[9, 4]","['50510', '32569', '63902', '76431', '59952']",50510,E,E
"[17, 5]","[14, 8]","['7913', '28694', '33045', '72055', '50221']",28694,E,E
"[7, 1]","[19, 5]","['3536', '16951', '17017', '12421', '10825']",17017,D,D
"[15, 17]","[18, 23]","['1225', '60915', '11908', '47834', '26755']",26755,E,E
"[7, 3]","[15, 28]","['64781', '23274', '52457', '61767', '75828']",23274,C,C
"[7, 3]","[4, 27]","['64781', '52457', '70239', '75828', '61767']",70239,B,B
"[5, 29]","[19, 10]","['18711', '21765', '52548', '51743', '55791']",55791,E,E
"[5, 19]","[19, 13]","['54232', '26354', '49189', '10743', '77183']",26354,E,E
"[5, 19]","[9, 26]","['53655', '60473', '6759', '51211', '54232']",6759,C,C
"[7, 1]","[19, 14]","['53652', '12421', '64729', '3536', '12376']",64729,D,D
"[15, 13]","[5, 29]","['25079', '53137', '24364', '20590', '57316']",57316,E,E
"[7, 1]","[19, 10]","['16951', '12376', '8109', '53652', '21540']",21540,E,E
"[19, 25]","[17, 5]","['33749', '47247', '59747', '26994', '72055']",72055,E,E
"[5, 22]","[19, 10]","['7217', '57572', '40863', '77349', '55791']",55791,E,E
"[9, 3]","[19, 18]","['14914', '64671', '49556', '1268', '9662']",49556,D,D
"[15, 17]","[7, 3]","['11908', '64781', '47834', '1225', '60915']",64781,B,B
"[7, 1]","[15, 13]","['17550', '12376', '12421', '68970', '53652']",68970,D,D
"[19, 18]","[5, 22]","['74633', '41277', '77349', '35149', '58616']",77349,C,C
"[19, 28]","[9, 26]","['43363', '40111', '42272', '23197', '23716']",23716,E,E
"[17, 21]","[14, 7]","['40487', '78147', '62454', '9795', '67483']",67483,E,E
"[9, 3]","[19, 14]","['1268', '9662', '74662', '14914', '26372']",26372,E,E
"[7, 22]","[19, 18]","['29042', '79411', '23132', '40679', '31113']",29042,E,E
"[9, 26]","[5, 19]","['60473', '27788', '6759', '7474', '50181']",60473,C,C
"[19, 14]","[17, 21]","['72517', '26703', '64729', '62549', '26372']",62549,E,E
"[19, 18]","[7, 3]","['61767', '36535', '74633', '41277', '30721']",61767,A,A
"[19, 18]","[5, 4]","['29042', '30721', '55086', '70560', '74633']",70560,D,D
"[9, 11]","[5, 4]","['335', '61914', '78534', '53032', '52758']",53032,D,D
"[19, 8]","[9, 11]","['36396', '6777', '19346', '71082', '61914']",61914,E,E
"[9, 26]","[19, 28]","['27788', '55589', '23716', '6759', '50181']",55589,B,B
"[7, 1]","[19, 14]","['12421', '26703', '10825', '16951', '17550']",26703,B,B
"[19, 13]","[9, 11]","['26354', '37914', '335', '43396', '35479']",335,C,C
