base_cluster,other_cluster,group,outlier_id,options
"[3, 7]","[14, 7]","['73164', '30859', '4286', '19796', '51393']",51393,"['19796', '30859', '4286', '51393', '73164']"
"[19, 28]","[15, 28]","['43363', '42272', '55589', '52721', '67905']",67905,"['42272', '67905', '52721', '55589', '43363']"
"[14, 8]","[19, 8]","['28732', '40877', '39691', '46039', '19346']",19346,"['39691', '40877', '19346', '28732', '46039']"
"[19, 13]","[15, 13]","['35479', '26354', '37914', '42612', '34763']",34763,"['35479', '34763', '26354', '42612', '37914']"
"[19, 13]","[15, 13]","['35479', '43396', '37914', '26354', '34763']",34763,"['43396', '37914', '34763', '26354', '35479']"
"[3, 28]","[19, 28]","['73823', '55090', '8257', '42226', '55589']",55589,"['42226', '55589', '55090', '73823', '8257']"
"[3, 26]","[9, 26]","['34449', '72586', '50906', '11033', '27788']",27788,"['11033', '72586', '34449', '50906', '27788']"
"[0, 7]","[14, 7]","['72266', '66807', '15613', '65801', '38835']",38835,"['65801', '38835', '66807', '15613', '72266']"
"[19, 13]","[15, 13]","['26354', '43324', '42612', '43396', '25079']",25079,"['25079', '26354', '43324', '42612', '43396']"
"[0, 7]","[14, 7]","['10984', '66807', '65801', '15613', '77045']",77045,"['15613', '65801', '10984', '77045', '66807']"
"[15, 28]","[19, 28]","['38548', '10526', '67905', '23274', '52721']",52721,"['23274', '10526', '52721', '38548', '67905']"
"[3, 5]","[17, 5]","['12162', '74226', '64', '63514', '33045']",33045,"['12162', '64', '63514', '74226', '33045']"
"[7, 22]","[5, 22]","['31113', '79411', '40679', '23132', '7217']",7217,"['31113', '7217', '40679', '23132', '79411']"
"[15, 28]","[19, 28]","['23274', '38548', '67905', '3258', '23197']",23197,"['67905', '3258', '23197', '38548', '23274']"
"[17, 5]","[3, 5]","['7913', '50221', '72055', '33045', '74226']",74226,"['33045', '72055', '50221', '7913', '74226']"
"[9, 26]","[3, 26]","['27788', '23716', '50181', '6759', '11033']",11033,"['23716', '11033', '6759', '50181', '27788']"
"[3, 21]","[17, 21]","['42206', '14038', '53064', '57272', '40487']",40487,"['57272', '53064', '42206', '14038', '40487']"
"[5, 4]","[3, 4]","['2004', '27706', '51114', '35725', '9383']",9383,"['35725', '9383', '51114', '2004', '27706']"
"[17, 18]","[19, 18]","['70105', '66935', '21543', '51240', '36535']",36535,"['66935', '70105', '51240', '36535', '21543']"
"[3, 26]","[9, 26]","['50906', '1064', '34449', '9147', '7474']",7474,"['7474', '50906', '34449', '1064', '9147']"
"[19, 8]","[14, 8]","['36396', '19346', '71082', '6777', '39691']",39691,"['6777', '71082', '36396', '19346', '39691']"
"[3, 7]","[0, 7]","['19796', '4286', '37907', '19992', '66807']",66807,"['19796', '37907', '4286', '66807', '19992']"
"[19, 18]","[17, 18]","['49556', '35149', '41277', '30721', '46660']",46660,"['46660', '35149', '41277', '49556', '30721']"
"[3, 7]","[0, 7]","['19796', '73164', '30859', '19992', '72266']",72266,"['72266', '19796', '73164', '30859', '19992']"
"[19, 5]","[3, 5]","['63902', '59952', '72346', '32569', '12162']",12162,"['32569', '12162', '59952', '72346', '63902']"
"[15, 13]","[19, 13]","['25079', '34763', '68970', '24364', '37914']",37914,"['24364', '68970', '34763', '37914', '25079']"
"[7, 22]","[5, 22]","['40679', '79411', '31113', '23132', '57572']",57572,"['79411', '57572', '31113', '40679', '23132']"
"[17, 5]","[19, 5]","['72055', '50221', '33045', '7913', '59952']",59952,"['50221', '33045', '7913', '59952', '72055']"
"[14, 7]","[0, 7]","['25607', '38835', '51393', '67483', '10984']",10984,"['10984', '38835', '67483', '51393', '25607']"
"[5, 4]","[3, 4]","['51114', '62609', '27706', '70560', '20671']",20671,"['20671', '70560', '62609', '51114', '27706']"
"[9, 4]","[5, 4]","['80219', '64614', '50510', '79413', '35725']",35725,"['35725', '50510', '79413', '64614', '80219']"
"[15, 28]","[19, 28]","['67905', '38548', '3258', '10526', '40111']",40111,"['10526', '38548', '40111', '67905', '3258']"
"[17, 18]","[19, 18]","['66316', '21543', '21408', '6955', '58616']",58616,"['21408', '6955', '21543', '66316', '58616']"
"[9, 26]","[3, 26]","['7474', '23716', '6759', '50181', '50906']",50906,"['6759', '7474', '23716', '50906', '50181']"
"[15, 28]","[19, 28]","['67905', '10526', '23274', '3258', '42272']",42272,"['42272', '67905', '10526', '3258', '23274']"
"[19, 28]","[3, 28]","['55589', '52721', '23197', '40111', '73823']",73823,"['52721', '40111', '55589', '73823', '23197']"
"[19, 28]","[3, 28]","['43363', '23197', '52721', '42272', '42226']",42226,"['42272', '52721', '42226', '43363', '23197']"
"[17, 18]","[19, 18]","['46660', '21408', '66316', '66935', '35149']",35149,"['66316', '46660', '35149', '66935', '21408']"
"[17, 5]","[3, 5]","['33045', '50221', '72055', '7913', '12162']",12162,"['33045', '50221', '12162', '7913', '72055']"
"[3, 4]","[5, 4]","['9383', '11039', '35787', '20671', '51114']",51114,"['9383', '35787', '11039', '20671', '51114']"
"[3, 21]","[17, 21]","['14038', '47060', '42206', '53064', '69704']",69704,"['14038', '69704', '42206', '53064', '47060']"
"[18, 25]","[19, 25]","['4132', '3282', '25711', '62071', '33749']",33749,"['3282', '25711', '4132', '33749', '62071']"
"[19, 5]","[3, 5]","['55314', '17017', '76431', '59952', '63514']",63514,"['63514', '59952', '17017', '55314', '76431']"
