base_cluster,other_cluster,group,outlier_id,llama_description_pick,options,last_option
3,"[0, 0]","['12683', '64047', '12043', '59100', '8176']",8176,64047,"['12043', '12683', '59100', '8176', '64047']",64047
19,"[3, 26]","['73023', '26372', '55314', '63902', '49864']",49864,73023,"['63902', '55314', '26372', '49864', '73023']",73023
0,"[3, 5]","['62759', '63508', '78009', '44802', '63514']",63514,78009,"['63508', '62759', '63514', '44802', '78009']",78009
15,"[9, 3]","['67905', '34763', '24364', '1225', '74662']",74662,1225,"['67905', '74662', '24364', '1225', '34763']",34763
3,"[7, 1]","['1064', '54792', '73823', '55090', '17550']",17550,55090,"['1064', '55090', '73823', '54792', '17550']",17550
14,"[19, 13]","['6508', '77045', '25607', '28732', '26354']",26354,25607,"['77045', '26354', '28732', '6508', '25607']",25607
19,"[3, 5]","['74633', '41277', '71082', '59747', '64']",64,41277,"['64', '71082', '59747', '74633', '41277']",41277
0,"[9, 26]","['70440', '10984', '43995', '37989', '7474']",7474,43995,"['10984', '70440', '7474', '37989', '43995']",43995
18,"[19, 28]","['3282', '15451', '65195', '61353', '43363']",43363,61353,"['43363', '65195', '3282', '15451', '61353']",61353
0,"[14, 9]","['37963', '48095', '27625', '43995', '26678']",26678,48095,"['37963', '48095', '27625', '43995', '26678']",26678
9,"[7, 3]","['64671', '1268', '74662', '23716', '52457']",52457,52457,"['74662', '64671', '23716', '52457', '1268']",1268
17,"[14, 8]","['62549', '69704', '46660', '50221', '46039']",46039,62549,"['50221', '69704', '46039', '46660', '62549']",62549
19,"[3, 4]","['26372', '74633', '76431', '43324', '11039']",11039,11039,"['74633', '43324', '76431', '26372', '11039']",11039
9,"[7, 1]","['15606', '61914', '30907', '23716', '12376']",12376,30907,"['23716', '15606', '12376', '30907', '61914']",61914
15,"[9, 3]","['38548', '1225', '7489', '23274', '9662']",9662,1225,"['9662', '1225', '7489', '23274', '38548']",38548
15,"[19, 28]","['34763', '60915', '3258', '47834', '23197']",23197,60915,"['34763', '60915', '47834', '23197', '3258']",3258
15,"[7, 1]","['11908', '25079', '20839', '10526', '53652']",53652,53652,"['11908', '25079', '20839', '10526', '53652']",53652
3,"[5, 29]","['55090', '18887', '74226', '50906', '52548']",52548,55090,"['74226', '18887', '52548', '50906', '55090']",55090
9,"[3, 26]","['23716', '52758', '27788', '1268', '34449']",34449,27788,"['34449', '23716', '52758', '1268', '27788']",27788
19,"[7, 1]","['36396', '35479', '37914', '55791', '17550']",17550,55791,"['37914', '35479', '36396', '17550', '55791']",55791
5,"[15, 28]","['2004', '52548', '18711', '10743', '10526']",10526,10526,"['10743', '10526', '52548', '2004', '18711']",18711
19,"[0, 24]","['40111', '33749', '29042', '26354', '37989']",37989,26354,"['29042', '37989', '26354', '40111', '33749']",33749
18,"[5, 4]","['25667', '65195', '15451', '26755', '62609']",62609,65195,"['15451', '25667', '62609', '26755', '65195']",65195
15,"[14, 9]","['24364', '7489', '3384', '1225', '14102']",14102,1225,"['3384', '24364', '1225', '14102', '7489']",7489
0,"[9, 3]","['78009', '75880', '43375', '44802', '1268']",1268,43375,"['78009', '1268', '75880', '44802', '43375']",43375
19,"[0, 0]","['74633', '76431', '64729', '58616', '14834']",14834,74633,"['64729', '76431', '14834', '58616', '74633']",74633
7,"[3, 17]","['3536', '79411', '23132', '10825', '53579']",53579,3536,"['79411', '10825', '23132', '53579', '3536']",3536
15,"[18, 25]","['42684', '38548', '53137', '60915', '62071']",62071,60915,"['53137', '62071', '42684', '38548', '60915']",60915
5,"[19, 14]","['53655', '10743', '77349', '27706', '26372']",26372,77349,"['53655', '27706', '10743', '26372', '77349']",77349
3,"[5, 19]","['11033', '54792', '9147', '177', '51211']",51211,9147,"['54792', '177', '11033', '51211', '9147']",9147
0,"[17, 5]","['32703', '63508', '60860', '49395', '7913']",7913,49395,"['7913', '32703', '60860', '63508', '49395']",49395
18,"[7, 1]","['26052', '4132', '73827', '20502', '10825']",10825,73827,"['26052', '10825', '4132', '20502', '73827']",73827
5,"[19, 25]","['54232', '63077', '35619', '21765', '26994']",26994,26994,"['21765', '54232', '35619', '63077', '26994']",26994
3,"[9, 26]","['9147', '63514', '40031', '33084', '7474']",7474,40031,"['33084', '7474', '63514', '9147', '40031']",40031
0,"[5, 19]","['59474', '15613', '17291', '9639', '60473']",60473,60473,"['17291', '15613', '9639', '59474', '60473']",60473
7,"[0, 24]","['10825', '61767', '12376', '12421', '31926']",31926,12376,"['12421', '61767', '31926', '12376', '10825']",10825
9,"[0, 7]","['64614', '74662', '15606', '64671', '66807']",66807,64614,"['74662', '66807', '64671', '15606', '64614']",64614
9,"[3, 26]","['74662', '80219', '41897', '23716', '19246']",19246,41897,"['74662', '80219', '23716', '19246', '41897']",41897
19,"[18, 25]","['26994', '73023', '74633', '25618', '25711']",25711,73023,"['26994', '25618', '25711', '73023', '74633']",74633
19,"[17, 5]","['59952', '35149', '26703', '30721', '50221']",50221,50221,"['59952', '26703', '30721', '35149', '50221']",50221
15,"[7, 3]","['68970', '11908', '53137', '1225', '61767']",61767,1225,"['53137', '1225', '11908', '68970', '61767']",61767
7,"[5, 22]","['12376', '79411', '8109', '2277', '57572']",57572,8109,"['57572', '2277', '79411', '12376', '8109']",8109
19,"[5, 29]","['35479', '25168', '42272', '26994', '18711']",18711,42272,"['26994', '18711', '35479', '25168', '42272']",42272
3,"[0, 14]","['18887', '55090', '54792', '37955', '17291']",17291,18887,"['55090', '17291', '54792', '37955', '18887']",18887
9,"[0, 2]","['9662', '1268', '80219', '41897', '80744']",80744,9662,"['80219', '41897', '80744', '1268', '9662']",9662
17,"[9, 3]","['9795', '33045', '31693', '62454', '9662']",9662,62454,"['9795', '31693', '9662', '33045', '62454']",62454
7,"[3, 17]","['40679', '54372', '17550', '61767', '54792']",54792,54372,"['40679', '61767', '17550', '54372', '54792']",54792
18,"[5, 29]","['78682', '14167', '32105', '25667', '18711']",18711,14167,"['18711', '14167', '25667', '32105', '78682']",78682
19,"[3, 17]","['55086', '33749', '52721', '25168', '38478']",38478,38478,"['52721', '55086', '25168', '33749', '38478']",38478
0,"[9, 3]","['60860', '25447', '43995', '48095', '14914']",14914,25447,"['60860', '43995', '48095', '14914', '25447']",25447
