base_cluster,other_cluster,group,outlier_id,gemma_description_pick,llama_description_pick,options,last_option
"[19, 25]","[18, 25]","['33749', '47247', '26994', '74532', '62071']",62071,74532,47247,"['62071', '33749', '26994', '47247', '74532']",74532
"[3, 5]","[19, 5]","['63514', '12162', '74226', '64', '32569']",32569,63514,74226,"['12162', '32569', '74226', '64', '63514']",63514
"[19, 8]","[14, 8]","['71082', '6777', '19346', '36396', '46039']",46039,19346,19346,"['71082', '36396', '6777', '46039', '19346']",19346
"[3, 28]","[15, 28]","['73823', '8257', '55090', '42226', '10526']",10526,42226,42226,"['8257', '55090', '73823', '10526', '42226']",42226
"[3, 21]","[15, 21]","['57272', '42206', '47060', '14038', '7489']",7489,47060,7489,"['14038', '57272', '42206', '7489', '47060']",47060
"[17, 21]","[15, 21]","['9795', '69704', '62549', '78147', '3384']",3384,62549,62549,"['78147', '3384', '69704', '9795', '62549']",62549
"[3, 3]","[9, 3]","['72700', '994', '10131', '30004', '1268']",1268,10131,30004,"['994', '1268', '72700', '30004', '10131']",10131
"[3, 17]","[15, 17]","['54792', '38478', '12043', '33084', '47834']",47834,47834,47834,"['54792', '33084', '12043', '38478', '47834']",47834
"[15, 28]","[3, 28]","['10526', '3258', '67905', '38548', '42226']",42226,10526,10526,"['3258', '42226', '67905', '38548', '10526']",10526
"[15, 17]","[3, 17]","['60915', '11908', '47834', '1225', '53579']",53579,60915,60915,"['1225', '11908', '53579', '47834', '60915']",60915
"[3, 26]","[9, 26]","['72586', '50906', '40031', '1064', '27788']",27788,50906,50906,"['40031', '27788', '72586', '1064', '50906']",50906
"[5, 22]","[7, 22]","['57572', '7217', '77349', '40863', '40679']",40679,57572,57572,"['40863', '7217', '40679', '77349', '57572']",57572
"[19, 8]","[14, 8]","['19346', '6777', '71082', '36396', '46039']",46039,19346,19346,"['46039', '6777', '36396', '71082', '19346']",19346
"[3, 17]","[15, 17]","['38478', '54792', '33084', '12043', '60915']",60915,54792,54792,"['12043', '60915', '38478', '33084', '54792']",54792
"[0, 7]","[3, 7]","['65801', '66807', '72266', '10984', '4286']",4286,10984,10984,"['4286', '65801', '66807', '72266', '10984']",10984
"[14, 8]","[19, 8]","['46039', '28694', '28732', '39691', '6777']",6777,6777,6777,"['28694', '39691', '28732', '46039', '6777']",6777
"[14, 7]","[0, 7]","['38835', '67483', '77045', '51393', '65801']",65801,65801,65801,"['77045', '38835', '67483', '51393', '65801']",65801
"[5, 4]","[9, 4]","['53032', '2004', '62609', '70560', '80219']",80219,62609,80219,"['70560', '80219', '2004', '53032', '62609']",62609
"[7, 3]","[9, 3]","['75828', '52457', '64781', '61767', '64671']",64671,61767,61767,"['75828', '64671', '52457', '64781', '61767']",61767
"[3, 7]","[0, 7]","['19992', '4286', '19796', '73164', '72266']",72266,72266,72266,"['19992', '73164', '4286', '19796', '72266']",72266
"[3, 3]","[9, 3]","['10017', '10131', '72700', '30004', '74662']",74662,30004,30004,"['72700', '74662', '10131', '10017', '30004']",30004
"[17, 5]","[3, 5]","['50221', '33045', '7913', '72055', '63514']",63514,50221,50221,"['7913', '63514', '72055', '33045', '50221']",50221
"[15, 17]","[3, 17]","['1225', '47834', '60915', '11908', '54792']",54792,60915,60915,"['47834', '1225', '11908', '54792', '60915']",60915
"[7, 3]","[9, 3]","['52457', '64781', '75828', '61767', '64671']",64671,64781,52457,"['61767', '75828', '52457', '64671', '64781']",64781
"[3, 17]","[15, 17]","['38478', '64047', '33084', '12043', '1225']",1225,33084,33084,"['1225', '38478', '12043', '64047', '33084']",33084
"[19, 13]","[15, 13]","['43324', '37914', '42612', '35479', '20590']",20590,42612,42612,"['35479', '20590', '37914', '42612', '43324']",43324
"[19, 14]","[0, 14]","['64729', '26703', '72517', '26372', '39894']",39894,26372,26372,"['64729', '26703', '39894', '72517', '26372']",26372
"[3, 28]","[15, 28]","['12683', '42226', '8257', '55090', '10526']",10526,55090,55090,"['42226', '12683', '8257', '10526', '55090']",55090
"[3, 21]","[15, 21]","['42206', '53064', '14038', '47060', '13497']",13497,47060,13497,"['53064', '42206', '13497', '14038', '47060']",47060
"[3, 7]","[0, 7]","['30859', '4286', '73164', '19796', '65801']",65801,19796,65801,"['4286', '73164', '30859', '65801', '19796']",19796
"[3, 21]","[17, 21]","['57272', '47060', '53064', '42206', '40487']",40487,42206,57272,"['40487', '47060', '53064', '57272', '42206']",42206
"[17, 21]","[3, 21]","['62549', '40487', '78147', '9795', '53064']",53064,62549,62549,"['40487', '9795', '53064', '78147', '62549']",62549
"[9, 3]","[3, 3]","['74662', '9662', '14914', '64671', '30004']",30004,30004,30004,"['74662', '9662', '64671', '14914', '30004']",30004
"[0, 7]","[14, 7]","['65801', '10984', '66807', '72266', '51393']",51393,10984,51393,"['65801', '51393', '72266', '66807', '10984']",10984
"[19, 13]","[15, 13]","['43396', '26354', '42612', '35479', '25079']",25079,42612,42612,"['35479', '43396', '25079', '26354', '42612']",42612
"[17, 18]","[19, 18]","['21543', '21408', '31693', '66935', '41277']",41277,21543,21543,"['66935', '41277', '31693', '21408', '21543']",21543
"[14, 8]","[19, 8]","['46039', '40877', '39691', '28694', '36396']",36396,36396,36396,"['40877', '28694', '46039', '39691', '36396']",36396
"[14, 8]","[19, 8]","['28694', '28732', '40877', '46039', '71082']",71082,46039,46039,"['28694', '71082', '40877', '28732', '46039']",46039
"[3, 3]","[9, 3]","['30004', '994', '10017', '10131', '64671']",64671,10131,10131,"['30004', '10017', '994', '64671', '10131']",10131
"[7, 3]","[3, 3]","['52457', '61767', '64781', '75828', '994']",994,64781,64781,"['75828', '52457', '61767', '994', '64781']",64781
"[3, 17]","[15, 17]","['33084', '53579', '54792', '12043', '60915']",60915,53579,60915,"['33084', '54792', '12043', '60915', '53579']",53579
"[3, 7]","[14, 7]","['19796', '19992', '4286', '37907', '25607']",25607,19796,25607,"['37907', '4286', '19992', '25607', '19796']",19796
"[19, 18]","[17, 18]","['55086', '35149', '29042', '49556', '66316']",66316,49556,29042,"['55086', '29042', '66316', '35149', '49556']",49556
"[19, 18]","[17, 18]","['35149', '55086', '30721', '41277', '46660']",46660,46660,46660,"['30721', '35149', '41277', '55086', '46660']",46660
"[17, 21]","[3, 21]","['78147', '9795', '40487', '62549', '42206']",42206,40487,40487,"['9795', '62549', '42206', '78147', '40487']",40487
"[3, 28]","[19, 28]","['42226', '55090', '8257', '73823', '52721']",52721,55090,55090,"['42226', '73823', '8257', '52721', '55090']",55090
"[3, 4]","[9, 4]","['20671', '9383', '11039', '35787', '50510']",50510,9383,9383,"['50510', '35787', '11039', '20671', '9383']",9383
"[15, 28]","[3, 28]","['23274', '3258', '10526', '67905', '42226']",42226,23274,42226,"['67905', '3258', '10526', '42226', '23274']",23274
"[15, 13]","[19, 13]","['24364', '42684', '25079', '20590', '43396']",43396,24364,20590,"['43396', '20590', '42684', '25079', '24364']",24364
"[18, 25]","[19, 25]","['3282', '25711', '73827', '4132', '47247']",47247,25711,25711,"['47247', '4132', '73827', '3282', '25711']",25711
"[3, 3]","[9, 3]","['22487', '10017', '994', '22002', '14914']",14914,994,994,"['22487', '10017', '22002', '14914', '994']",994
"[3, 4]","[9, 4]","['9383', '20671', '11039', '35787', '80219']",80219,9383,9383,"['11039', '20671', '80219', '35787', '9383']",9383
