base_cluster,other_cluster,options,outlier_id,predicted_id,raw_response
"[0, 7]","[15, 13]","['25079', '15613', '66807', '65801', '10984']",25079,C,C
"[14, 7]","[3, 26]","['38835', '67483', '11033', '51393', '77045']",11033,C,C
"[15, 28]","[0, 7]","['38548', '10526', '67905', '66807', '3258']",66807,C,C
"[19, 13]","[15, 17]","['43396', '43324', '37914', '1225', '42612']",1225,D,D
"[3, 26]","[14, 8]","['9147', '28694', '50906', '32729', '68096']",28694,B,B
"[15, 28]","[5, 19]","['3258', '53655', '23274', '10526', '38548']",53655,A,A
"[14, 9]","[4, 27]","['14102', '39708', '26678', '12888', '6508']",12888,E,E
"[18, 23]","[14, 7]","['40817', '20502', '32105', '25607', '61353']",25607,D,D
"[5, 4]","[15, 17]","['53032', '63485', '51114', '1225', '70560']",1225,D,D
"[0, 14]","[15, 28]","['39894', '17291', '3258', '1261', '80522']",3258,C,C
"[18, 23]","[5, 19]","['64148', '25667', '51211', '72365', '42151']",51211,C,C
"[3, 28]","[14, 9]","['12683', '55090', '14102', '42226', '8257']",14102,C,C
"[3, 21]","[14, 8]","['53064', '47060', '42206', '28732', '57272']",28732,D,D
"[18, 25]","[9, 11]","['4132', '25711', '73827', '61914', '3282']",61914,A,A
"[18, 23]","[5, 4]","['35725', '15451', '72978', '5909', '48306']",35725,C,C
"[14, 8]","[3, 26]","['28694', '46039', '28732', '39691', '49864']",49864,E,E
"[18, 23]","[14, 8]","['72978', '28732', '37360', '65195', '6216']",28732,E,E
"[18, 23]","[9, 11]","['67584', '30907', '48306', '32105', '65195']",30907,B,B
"[9, 11]","[17, 21]","['41897', '30907', '78147', '52758', '78534']",78147,B,B
"[9, 26]","[17, 18]","['27788', '6955', '50181', '23716', '7474']",6955,B,B
"[3, 28]","[14, 8]","['39691', '55090', '73823', '8257', '42226']",39691,A,A
"[0, 6]","[15, 28]","['3258', '43375', '75880', '49395', '25447']",3258,C,C
"[19, 28]","[15, 13]","['55589', '52721', '40111', '43363', '20590']",20590,E,E
"[0, 7]","[7, 3]","['64781', '66807', '10984', '65801', '72266']",64781,C,C
"[5, 19]","[18, 25]","['49189', '53655', '54232', '77183', '25711']",25711,E,E
"[0, 24]","[7, 3]","['31926', '48780', '37989', '52457', '74418']",52457,D,D
"[3, 3]","[14, 9]","['14102', '72700', '994', '10017', '10131']",14102,A,A
"[5, 4]","[15, 17]","['47834', '51114', '63485', '70560', '35725']",47834,A,A
"[19, 10]","[15, 13]","['21540', '55791', '73023', '25618', '24364']",24364,C,C
"[3, 7]","[14, 9]","['26678', '19992', '73164', '4286', '30859']",26678,C,C
"[7, 3]","[0, 14]","['61767', '52457', '75828', '64781', '17291']",17291,E,E
"[3, 21]","[14, 9]","['57272', '53064', '6508', '42206', '47060']",6508,C,C
"[5, 4]","[15, 21]","['62609', '51114', '63485', '13497', '53032']",13497,E,E
"[15, 13]","[5, 22]","['53137', '68970', '34763', '24364', '48795']",48795,E,E
"[0, 2]","[15, 28]","['44145', '66847', '23274', '48095', '59390']",23274,C,C
"[9, 3]","[15, 13]","['68970', '1268', '14914', '64671', '74662']",68970,C,C
"[7, 20]","[0, 0]","['54372', '2277', '55305', '2425', '78009']",78009,D,D
"[15, 13]","[0, 14]","['42684', '80522', '25079', '53137', '34763']",80522,C,C
"[3, 12]","[14, 9]","['27821', '26506', '37955', '1181', '20968']",26506,B,B
"[19, 8]","[15, 17]","['47834', '36396', '19346', '71082', '6777']",47834,C,C
"[18, 25]","[14, 7]","['73827', '3282', '4132', '62071', '77045']",77045,E,E
"[3, 12]","[14, 8]","['1181', '37955', '27821', '20968', '39691']",39691,C,C
"[0, 7]","[7, 1]","['8109', '66807', '65801', '10984', '72266']",8109,E,E
"[0, 2]","[15, 13]","['60860', '25079', '9836', '62759', '67842']",25079,B,B
"[0, 2]","[7, 20]","['48095', '27625', '28242', '54372', '67465']",54372,D,D
"[7, 3]","[0, 7]","['61767', '52457', '64781', '15613', '75828']",15613,E,E
"[3, 7]","[14, 8]","['46039', '73164', '30859', '4286', '19796']",46039,C,C
"[5, 4]","[15, 28]","['27706', '70560', '23274', '63485', '53032']",23274,E,E
"[7, 22]","[0, 7]","['31113', '40679', '79411', '23132', '65801']",65801,C,C
"[15, 21]","[19, 8]","['3384', '13497', '7489', '20839', '36396']",36396,C,C
"[19, 10]","[18, 23]","['14167', '25168', '21540', '55791', '73023']",14167,E,E
"[9, 3]","[18, 23]","['14914', '1268', '74662', '64247', '9662']",64247,C,C
"[18, 23]","[14, 7]","['5909', '61353', '25607', '20502', '12104']",25607,C,C
"[9, 3]","[15, 13]","['9662', '14914', '42684', '64671', '74662']",42684,C,C
"[17, 5]","[9, 11]","['50221', '335', '33045', '7913', '72055']",335,C,C
"[4, 27]","[14, 7]","['77515', '38835', '12888', '5222', '70239']",38835,C,C
"[15, 13]","[5, 29]","['68970', '20590', '53137', '57316', '42684']",57316,E,E
"[3, 26]","[14, 9]","['68096', '1064', '14102', '11033', '32729']",14102,C,C
"[18, 23]","[19, 25]","['67584', '64247', '26994', '40817', '72365']",26994,D,D
"[0, 0]","[15, 17]","['78009', '8176', '60915', '14834', '28082']",60915,C,C
"[15, 17]","[9, 26]","['47834', '60915', '1225', '11908', '23716']",23716,E,E
"[14, 9]","[3, 28]","['73823', '6508', '40550', '26506', '39708']",73823,E,E
"[7, 1]","[0, 2]","['67465', '3536', '8109', '10825', '17550']",67465,C,C
"[15, 28]","[19, 10]","['23274', '38548', '25618', '10526', '67905']",25618,C,C
"[18, 25]","[5, 29]","['4132', '51743', '3282', '25711', '73827']",51743,C,C
"[15, 28]","[19, 14]","['64729', '3258', '67905', '38548', '10526']",64729,A,A
"[15, 13]","[0, 6]","['24364', '41154', '25079', '20590', '42684']",41154,C,C
"[15, 21]","[0, 14]","['20839', '13497', '7489', '3384', '17291']",17291,E,E
"[19, 25]","[15, 21]","['33749', '3384', '59747', '26994', '74532']",3384,E,E
"[14, 7]","[3, 5]","['51393', '25607', '67483', '64', '77045']",64,D,D
"[7, 1]","[0, 2]","['17550', '54867', '16951', '12421', '10825']",54867,C,C
"[14, 7]","[3, 4]","['51393', '9383', '67483', '77045', '38835']",9383,B,B
"[3, 26]","[14, 9]","['72586', '34449', '32729', '6508', '19246']",6508,D,D
"[15, 13]","[5, 4]","['53137', '20590', '42684', '63485', '24364']",63485,D,D
"[9, 11]","[15, 17]","['78534', '61914', '41897', '4186', '60915']",60915,C,C
"[18, 23]","[19, 18]","['32105', '10433', '12104', '58616', '72365']",58616,E,E
"[14, 7]","[4, 27]","['67483', '12888', '51393', '77045', '25607']",12888,D,D
"[0, 24]","[15, 21]","['20839', '48780', '74418', '37989', '31926']",20839,A,A
"[15, 13]","[0, 7]","['20590', '24364', '53137', '34763', '65801']",65801,B,B
"[19, 25]","[15, 21]","['26994', '74532', '47247', '59747', '7489']",7489,C,C
"[15, 28]","[9, 3]","['14914', '23274', '38548', '67905', '3258']",14914,A,A
"[0, 7]","[7, 3]","['72266', '61767', '65801', '10984', '66807']",61767,B,B
"[0, 2]","[7, 3]","['28242', '43995', '67465', '61767', '51831']",61767,D,D
"[15, 28]","[9, 11]","['67905', '3258', '335', '23274', '10526']",335,C,C
"[7, 1]","[4, 27]","['53652', '17550', '3536', '70239', '16951']",70239,C,C
"[18, 25]","[19, 28]","['55589', '62071', '25711', '4132', '3282']",55589,E,E
"[15, 17]","[19, 13]","['1225', '47834', '11908', '43324', '60915']",43324,C,C
"[15, 28]","[19, 18]","['23274', '38548', '67905', '3258', '30721']",30721,E,E
"[15, 21]","[0, 6]","['59474', '13497', '20839', '7489', '3384']",59474,C,C
"[15, 28]","[0, 2]","['67905', '3258', '44802', '23274', '10526']",44802,C,C
"[9, 3]","[15, 17]","['1268', '1225', '64671', '14914', '74662']",1225,B,B
"[0, 6]","[15, 28]","['41154', '25447', '43036', '75880', '10526']",10526,E,E
"[15, 13]","[9, 11]","['25079', '68970', '34763', '41897', '20590']",41897,E,E
"[19, 25]","[18, 23]","['74532', '47247', '59747', '25667', '26994']",25667,B,B
"[15, 21]","[5, 22]","['3384', '7489', '77349', '20839', '13497']",77349,D,D
"[0, 2]","[15, 13]","['80744', '70440', '48095', '9836', '53137']",53137,E,E
"[15, 13]","[5, 22]","['7217', '25079', '68970', '53137', '42684']",7217,E,E
"[14, 7]","[4, 27]","['51393', '38835', '70239', '67483', '25607']",70239,C,C
"[5, 29]","[18, 25]","['73827', '18711', '51743', '52548', '21765']",73827,C,C
"[9, 11]","[15, 13]","['4186', '42684', '335', '15606', '41897']",42684,B,B
"[18, 23]","[14, 8]","['46039', '10433', '32105', '12104', '72978']",46039,E,E
"[3, 16]","[14, 8]","['28694', '63317', '11746', '56017', '59100']",28694,B,B
"[15, 17]","[0, 2]","['47834', '11908', '60915', '1225', '44802']",44802,B,B
"[15, 21]","[9, 11]","['7489', '4186', '20839', '3384', '13497']",4186,B,B
"[0, 24]","[7, 3]","['48780', '37989', '74418', '31926', '64781']",64781,D,D
"[17, 18]","[9, 26]","['50181', '21408', '51240', '46660', '66316']",50181,C,C
"[19, 10]","[15, 28]","['73023', '21540', '25618', '25168', '3258']",3258,C,C
"[9, 3]","[18, 25]","['14914', '3282', '9662', '64671', '74662']",3282,B,B
"[19, 5]","[18, 25]","['32569', '4132', '55314', '17017', '59952']",4132,B,B
"[15, 28]","[5, 29]","['57316', '38548', '67905', '10526', '3258']",57316,A,A
"[9, 26]","[17, 18]","['7474', '70105', '50181', '6759', '27788']",70105,D,D
"[18, 23]","[19, 25]","['26755', '78682', '10433', '48306', '47247']",47247,E,E
"[19, 10]","[18, 23]","['55791', '78682', '25618', '21540', '73023']",78682,E,E
"[9, 26]","[18, 25]","['7474', '50181', '62071', '23716', '6759']",62071,C,C
"[17, 21]","[9, 11]","['62549', '62454', '69704', '40487', '41897']",41897,D,D
"[14, 8]","[3, 7]","['28694', '40877', '19796', '39691', '46039']",19796,C,C
"[9, 11]","[15, 17]","['61914', '78534', '47834', '335', '15606']",47834,C,C
"[0, 7]","[7, 1]","['12376', '15613', '10984', '65801', '66807']",12376,C,C
"[5, 4]","[15, 17]","['51114', '70560', '53032', '60915', '35725']",60915,C,C
"[15, 21]","[19, 13]","['43396', '20839', '3384', '13497', '7489']",43396,A,A
"[0, 6]","[7, 22]","['40679', '25447', '49395', '41154', '43375']",40679,C,C
"[15, 21]","[9, 11]","['13497', '20839', '335', '7489', '3384']",335,C,C
"[3, 12]","[14, 9]","['37955', '14102', '1181', '20968', '27821']",14102,B,B
"[18, 23]","[14, 8]","['72978', '59794', '39691', '6216', '10433']",39691,C,C
"[15, 28]","[9, 3]","['23274', '3258', '74662', '10526', '67905']",74662,C,C
"[17, 21]","[9, 4]","['62549', '9795', '62454', '78147', '80219']",80219,C,C
"[5, 4]","[15, 13]","['70560', '68970', '62609', '51114', '35725']",68970,B,B
"[7, 1]","[0, 14]","['80522', '3536', '16951', '8109', '10825']",80522,D,D
"[19, 18]","[15, 21]","['74633', '41277', '7489', '30721', '35149']",7489,E,E
"[19, 5]","[15, 13]","['72346', '68970', '17017', '63902', '55314']",68970,C,C
"[9, 26]","[15, 17]","['7474', '6759', '1225', '27788', '23716']",1225,C,C
"[4, 27]","[7, 22]","['12888', '5222', '77515', '40679', '70239']",40679,C,C
"[0, 0]","[7, 20]","['28082', '55305', '8176', '78009', '14834']",55305,C,C
"[18, 25]","[14, 7]","['3282', '73827', '25711', '62071', '77045']",77045,E,E
"[7, 22]","[0, 0]","['23132', '40679', '79411', '14834', '31113']",14834,C,C
"[0, 24]","[15, 21]","['13497', '31926', '37989', '48780', '74418']",13497,D,D
"[19, 10]","[15, 13]","['73023', '21540', '25168', '25618', '42684']",42684,D,D
"[19, 25]","[15, 21]","['33749', '74532', '20839', '59747', '26994']",20839,C,C
"[5, 19]","[15, 28]","['35619', '77183', '10743', '38548', '60473']",38548,D,D
"[0, 2]","[7, 22]","['70440', '9639', '66847', '40679', '63508']",40679,D,D
"[15, 13]","[19, 25]","['34763', '20590', '24364', '26994', '25079']",26994,C,C
"[5, 29]","[18, 25]","['73827', '57316', '55950', '51743', '18711']",73827,C,C
"[15, 28]","[0, 2]","['10526', '3258', '48095', '23274', '38548']",48095,C,C
"[3, 28]","[14, 8]","['73823', '12683', '55090', '42226', '39691']",39691,C,C
"[5, 4]","[15, 28]","['2004', '51114', '35725', '63485', '3258']",3258,C,C
"[3, 26]","[14, 8]","['40877', '18887', '72586', '32729', '11033']",40877,A,A
"[15, 13]","[9, 3]","['20590', '42684', '64671', '25079', '68970']",64671,D,D
"[15, 13]","[0, 0]","['28082', '24364', '34763', '42684', '25079']",28082,A,A
"[17, 21]","[9, 4]","['9795', '40487', '78147', '69704', '64614']",64614,C,C
"[9, 4]","[15, 28]","['67905', '79413', '50510', '80219', '64614']",67905,A,A
"[15, 28]","[19, 8]","['38548', '23274', '6777', '67905', '3258']",6777,C,C
"[15, 13]","[9, 11]","['34763', '53137', '20590', '61914', '68970']",61914,D,D
"[15, 17]","[0, 14]","['47834', '42604', '1225', '60915', '11908']",42604,E,E
"[15, 28]","[5, 4]","['27706', '23274', '67905', '38548', '3258']",27706,E,E
"[14, 8]","[3, 3]","['28732', '28694', '40877', '30004', '46039']",30004,E,E
"[15, 28]","[0, 14]","['10526', '23274', '3258', '42604', '67905']",42604,A,A
"[0, 14]","[7, 22]","['75707', '1261', '80522', '23132', '42604']",23132,D,D
"[15, 13]","[5, 19]","['53137', '34763', '53655', '42684', '20590']",53655,E,E
"[14, 7]","[3, 12]","['38835', '51393', '77045', '25607', '1181']",1181,C,C
"[9, 4]","[18, 23]","['50510', '79413', '64614', '72365', '80219']",72365,D,D
"[18, 23]","[19, 8]","['25667', '6777', '72978', '64247', '72365']",6777,B,B
"[9, 3]","[15, 21]","['20839', '14914', '9662', '74662', '1268']",20839,A,A
"[14, 7]","[18, 23]","['38835', '51393', '77045', '72365', '67483']",72365,C,C
"[15, 13]","[19, 25]","['53137', '24364', '20590', '26994', '25079']",26994,D,D
"[19, 8]","[15, 13]","['71082', '19346', '24364', '36396', '6777']",24364,C,C
"[5, 19]","[15, 17]","['1225', '60473', '54232', '63077', '51211']",1225,A,A
"[9, 4]","[18, 23]","['79413', '50510', '64614', '61353', '80219']",61353,D,D
"[0, 7]","[7, 22]","['10984', '65801', '66807', '31113', '15613']",31113,D,D
"[9, 11]","[15, 17]","['30907', '1225', '41897', '78534', '335']",1225,B,B
"[9, 26]","[17, 21]","['50181', '27788', '23716', '6759', '40487']",40487,C,C
"[7, 3]","[0, 24]","['48780', '61767', '75828', '64781', '52457']",48780,C,C
"[14, 9]","[18, 25]","['6508', '26678', '14102', '73827', '40550']",73827,B,B
"[17, 18]","[9, 3]","['1268', '70105', '66935', '6955', '51240']",1268,D,D
"[19, 18]","[18, 25]","['58616', '55086', '36535', '49556', '3282']",3282,E,E
"[0, 2]","[15, 13]","['32703', '67842', '70440', '43995', '68970']",68970,E,E
"[5, 19]","[18, 25]","['77183', '53655', '51211', '35619', '62071']",62071,E,E
"[14, 8]","[18, 23]","['28732', '39691', '61353', '46039', '28694']",61353,C,C
"[15, 13]","[0, 24]","['25079', '34763', '68970', '53137', '48780']",48780,E,E
"[3, 16]","[14, 8]","['56017', '11746', '59100', '177', '28732']",28732,C,C
"[0, 6]","[7, 22]","['31113', '75880', '43375', '49395', '25447']",31113,E,E
"[19, 10]","[15, 17]","['25168', '55791', '11908', '21540', '73023']",11908,C,C
"[18, 23]","[9, 3]","['12104', '5909', '1268', '14167', '59794']",1268,C,C
"[19, 18]","[15, 13]","['34763', '30721', '74633', '55086', '29042']",34763,C,C
"[17, 5]","[9, 4]","['72055', '33045', '50221', '7913', '50510']",50510,C,C
"[9, 4]","[18, 25]","['80219', '3282', '64614', '50510', '79413']",3282,E,E
"[17, 18]","[9, 11]","['70105', '31693', '66316', '78534', '6955']",78534,D,D
"[0, 14]","[7, 1]","['17550', '75707', '1261', '42604', '37963']",17550,C,C
"[9, 11]","[15, 21]","['15606', '30907', '20839', '41897', '335']",20839,C,C
"[15, 13]","[5, 19]","['68970', '35619', '53137', '20590', '24364']",35619,E,E
"[3, 3]","[14, 7]","['10131', '67483', '22487', '22002', '30004']",67483,B,B
"[19, 10]","[15, 13]","['73023', '25168', '53137', '55791', '21540']",53137,C,C
"[9, 11]","[18, 23]","['64247', '4186', '30907', '335', '15606']",64247,C,C
"[18, 25]","[9, 26]","['62071', '23716', '25711', '3282', '4132']",23716,E,E
"[14, 9]","[3, 17]","['33084', '26678', '40550', '39708', '6508']",33084,A,A
"[0, 6]","[15, 28]","['43036', '59474', '41154', '3258', '43375']",3258,D,D
"[3, 3]","[14, 7]","['22002', '10017', '30004', '22487', '38835']",38835,E,E
"[17, 18]","[9, 11]","['6955', '4186', '51240', '66316', '31693']",4186,C,C
"[14, 9]","[3, 26]","['6508', '26506', '14102', '1064', '26678']",1064,D,D
"[9, 26]","[18, 25]","['50181', '27788', '6759', '73827', '23716']",73827,C,C
"[5, 22]","[15, 13]","['40863', '57572', '7217', '20590', '77349']",20590,D,D
"[0, 14]","[15, 28]","['42604', '75707', '1261', '37963', '23274']",23274,E,E
"[14, 7]","[18, 25]","['25607', '67483', '38835', '25711', '51393']",25711,D,D
"[18, 25]","[19, 28]","['42272', '25711', '4132', '62071', '73827']",42272,C,C
"[15, 21]","[19, 8]","['3384', '71082', '7489', '13497', '20839']",71082,E,E
"[18, 25]","[5, 22]","['4132', '77349', '73827', '62071', '3282']",77349,D,D
"[0, 2]","[15, 13]","['25079', '32703', '27625', '60860', '67842']",25079,C,C
"[5, 4]","[18, 23]","['53032', '2004', '15451', '35725', '62609']",15451,C,C
"[15, 13]","[19, 18]","['29042', '25079', '68970', '20590', '42684']",29042,A,A
"[18, 25]","[5, 22]","['40863', '4132', '62071', '3282', '73827']",40863,B,B
"[3, 26]","[14, 8]","['32729', '50906', '11033', '28732', '68096']",28732,D,D
"[3, 26]","[14, 9]","['40031', '19246', '50906', '72586', '6508']",6508,E,E
"[18, 23]","[9, 11]","['64148', '48306', '26755', '10433', '78534']",78534,E,E
"[14, 7]","[3, 3]","['38835', '22487', '67483', '25607', '51393']",22487,B,B
"[0, 2]","[15, 17]","['60860', '11908', '43995', '44125', '9836']",11908,D,D
"[7, 20]","[0, 24]","['74418', '54372', '2425', '2277', '55305']",74418,C,C
"[18, 25]","[19, 18]","['3282', '4132', '41277', '25711', '62071']",41277,C,C
"[14, 7]","[18, 25]","['77045', '38835', '67483', '4132', '51393']",4132,D,D
"[19, 25]","[15, 17]","['47834', '59747', '33749', '26994', '47247']",47834,E,E
"[3, 28]","[14, 9]","['39708', '8257', '73823', '12683', '42226']",39708,A,A
"[9, 3]","[15, 13]","['64671', '74662', '1268', '25079', '9662']",25079,D,D
"[9, 3]","[15, 28]","['23274', '64671', '74662', '14914', '9662']",23274,A,A
"[0, 0]","[15, 21]","['78009', '8176', '28082', '14834', '20839']",20839,E,E
"[5, 19]","[15, 21]","['7489', '49189', '53655', '63077', '10743']",7489,C,C
"[18, 25]","[5, 4]","['3282', '35725', '4132', '73827', '62071']",35725,C,C
"[7, 3]","[0, 6]","['64781', '43375', '75828', '52457', '61767']",43375,E,E
