base_cluster,other_cluster,options,outlier_id,last_option,phi_pick,qwen_pick
"[0, 14]","[3, 26]","['39894', '37963', '17291', '80522', '34449']",34449,34449,34449,34449
"[0, 24]","[15, 17]","['31926', '37989', '48780', '1225', '74418']",1225,74418,1225,31926
"[0, 24]","[15, 17]","['74418', '31926', '48780', '37989', '60915']",60915,60915,60915,60915
"[0, 24]","[3, 28]","['31926', '74418', '37989', '8257', '48780']",8257,48780,8257,48780
"[0, 24]","[3, 28]","['74418', '55090', '48780', '31926', '37989']",55090,37989,31926,31926
"[0, 2]","[19, 28]","['9836', '54867', '59390', '23197', '51831']",23197,51831,23197,51831
"[0, 2]","[7, 3]","['63508', '75828', '45218', '9836', '48095']",75828,48095,9836,75828
"[0, 2]","[9, 11]","['28242', '9639', '63508', '62759', '61914']",61914,61914,62759,61914
"[0, 6]","[15, 17]","['25447', '49395', '43036', '41154', '1225']",1225,1225,1225,1225
"[0, 6]","[19, 10]","['43375', '41154', '25618', '25447', '59474']",25618,59474,59474,59474
"[0, 6]","[19, 14]","['41154', '43375', '59474', '49395', '26703']",26703,26703,26703,59474
"[0, 6]","[19, 25]","['59474', '25447', '43375', '33749', '43036']",33749,43036,43036,59474
"[0, 6]","[9, 26]","['75880', '50181', '25447', '49395', '59474']",50181,59474,59474,59474
"[0, 7]","[15, 28]","['65801', '66807', '10984', '10526', '72266']",10526,72266,72266,72266
"[0, 7]","[7, 3]","['10984', '72266', '66807', '52457', '15613']",52457,15613,15613,15613
"[14, 8]","[0, 6]","['75880', '28694', '40877', '46039', '28732']",75880,28732,46039,75880
"[14, 8]","[19, 5]","['39691', '40877', '28694', '46039', '63902']",63902,63902,63902,63902
"[14, 8]","[3, 28]","['42226', '46039', '40877', '28732', '28694']",42226,28694,40877,46039
"[14, 8]","[3, 3]","['40877', '46039', '28732', '28694', '10017']",10017,10017,10017,5
"[14, 8]","[4, 27]","['39691', '40877', '46039', '28694', '77515']",77515,77515,77515,5
"[14, 9]","[19, 8]","['26678', '14102', '36396', '6508', '26506']",36396,26506,6508,26678
"[15, 17]","[19, 28]","['60915', '1225', '11908', '42272', '47834']",42272,47834,42272,47834
"[15, 17]","[5, 22]","['47834', '11908', '60915', '7217', '1225']",7217,1225,1225,1225
"[15, 21]","[0, 7]","['20839', '13497', '10984', '7489', '3384']",10984,3384,7489,10984
"[15, 21]","[14, 7]","['3384', '7489', '13497', '25607', '20839']",25607,20839,20839,20839
"[15, 21]","[19, 5]","['13497', '20839', '76431', '7489', '3384']",76431,3384,76431,76431
"[15, 28]","[14, 9]","['67905', '10526', '26506', '3258', '38548']",26506,38548,3258,38548
"[17, 21]","[19, 28]","['43363', '62549', '78147', '9795', '40487']",43363,40487,9795,62549
"[17, 5]","[3, 5]","['63514', '7913', '72055', '50221', '33045']",63514,33045,50221,50221
"[17, 5]","[4, 27]","['77515', '50221', '7913', '72055', '33045']",77515,33045,72055,50221
"[18, 23]","[19, 5]","['59794', '64148', '14167', '20502', '32569']",32569,32569,14167,59794
"[18, 25]","[15, 28]","['62071', '73827', '25711', '23274', '3282']",23274,3282,23274,3282
"[18, 25]","[19, 5]","['3282', '73827', '25711', '62071', '72346']",72346,72346,62071,72346
"[18, 25]","[9, 4]","['80219', '4132', '62071', '25711', '73827']",80219,73827,25711,73827
"[19, 10]","[0, 6]","['25168', '25618', '55791', '21540', '59474']",59474,59474,55791,59474
"[19, 10]","[3, 16]","['25618', '25168', '21540', '55791', '63317']",63317,63317,63317,63317
"[19, 10]","[3, 16]","['56017', '25168', '73023', '55791', '21540']",56017,21540,55791,21540
"[19, 13]","[3, 17]","['43396', '42612', '53579', '37914', '35479']",53579,35479,53579,43396
"[19, 13]","[5, 29]","['43396', '26354', '37914', '35479', '18711']",18711,18711,35479,18711
"[19, 14]","[14, 7]","['64729', '26703', '72517', '51393', '26372']",51393,26372,26372,26372
