file,accuracy,count_A,count_B,count_C,count_D,count_E
vlm_qwen2.5-vl_img_diff_first_original_wlegend.csv,0.36,1,13,22,11,53
vlm_qwen2.5-vl_img_same_second_original_wlegend.csv,0.32,1,25,12,6,56
vlm_qwen2.5-vl_multi_diff_first_reoriented_wlegend.csv,0.62,3,10,21,18,48
vlm_qwen2.5-vl_img_diff_first_original_nolegend.csv,0.45,1,14,34,16,35
vlm_qwen2.5-vl_img_diff_first_reoriented_nolegend.csv,0.63,2,17,25,22,34
vlm_qwen2.5-vl_img_same_second_reoriented_nolegend.csv,0.43,0,22,17,17,44
vlm_qwen2.5-vl_multi_same_second_original_nolegend.csv,0.28,5,12,19,8,56
vlm_qwen2.5-vl_img_same_second_reoriented_wlegend.csv,0.37,1,19,15,10,55
vlm_qwen2.5-vl_img_diff_first_reoriented_wlegend.csv,0.61,1,19,20,16,44
vlm_qwen2.5-vl_multi_diff_first_original_wlegend.csv,0.4,5,3,20,13,59
vlm_qwen2.5-vl_multi_same_second_reoriented_wlegend.csv,0.37,3,9,16,13,59
vlm_qwen2.5-vl_multi_same_second_reoriented_nolegend.csv,0.35,4,2,12,17,65
vlm_qwen2.5-vl_multi_diff_first_reoriented_nolegend.csv,0.61,4,6,22,23,45
vlm_qwen2.5-vl_multi_diff_first_original_nolegend.csv,0.44,7,2,29,16,46
vlm_qwen2.5-vl_multi_same_second_original_wlegend.csv,0.32,3,14,13,6,64
vlm_qwen2.5-vl_img_same_second_original_nolegend.csv,0.28,2,28,18,8,44
