base_cluster,other_cluster,options,outlier_id,predicted_id,raw_response
"[19, 28]","[15, 28]","['40111', '55589', '38548', '23197', '43363']",38548,C,C
"[7, 3]","[3, 3]","['64781', '52457', '22002', '75828', '61767']",22002,D,D
"[3, 3]","[7, 3]","['30004', '72700', '75828', '22487', '10017']",75828,C,C
"[15, 13]","[19, 13]","['26354', '42684', '34763', '68970', '25079']",26354,A,A
"[15, 13]","[19, 13]","['20590', '37914', '42684', '68970', '24364']",37914,B,B
"[3, 7]","[0, 7]","['30859', '65801', '4286', '19992', '73164']",65801,D,D
"[5, 4]","[3, 4]","['9383', '53032', '63485', '70560', '62609']",9383,B,B
"[19, 13]","[15, 13]","['42612', '35479', '37914', '26354', '25079']",25079,B,B
"[5, 22]","[7, 22]","['48795', '77349', '79411', '57572', '40863']",79411,C,C
"[19, 13]","[15, 13]","['53137', '26354', '43324', '42612', '35479']",53137,E,E
"[3, 7]","[14, 7]","['4286', '30859', '37907', '38835', '73164']",38835,B,B
"[5, 4]","[3, 4]","['20671', '70560', '63485', '53032', '35725']",20671,A,A
"[3, 3]","[7, 3]","['72700', '22002', '994', '22487', '52457']",52457,E,E
"[3, 7]","[14, 7]","['19796', '37907', '25607', '73164', '30859']",25607,C,C
"[3, 3]","[7, 3]","['10131', '22002', '72700', '52457', '994']",52457,D,D
"[3, 7]","[14, 7]","['19796', '19992', '38835', '4286', '37907']",38835,B,B
"[15, 13]","[19, 13]","['53137', '68970', '26354', '25079', '24364']",26354,C,C
"[5, 4]","[3, 4]","['63485', '9383', '62609', '53032', '35725']",9383,D,D
"[17, 21]","[15, 21]","['13497', '62549', '62454', '78147', '40487']",13497,B,B
"[3, 7]","[0, 7]","['37907', '73164', '19796', '4286', '15613']",15613,E,E
"[3, 7]","[14, 7]","['73164', '19796', '51393', '37907', '19992']",51393,C,C
"[0, 7]","[3, 7]","['72266', '10984', '65801', '19796', '66807']",19796,E,E
"[15, 13]","[19, 13]","['34763', '25079', '24364', '43324', '68970']",43324,B,B
"[15, 13]","[19, 13]","['25079', '42684', '37914', '53137', '24364']",37914,C,C
"[5, 4]","[3, 4]","['53032', '2004', '20671', '70560', '62609']",20671,C,C
"[15, 13]","[19, 13]","['42684', '68970', '34763', '53137', '26354']",26354,E,E
"[5, 22]","[7, 22]","['48795', '40679', '57572', '7217', '40863']",40679,D,D
"[3, 4]","[5, 4]","['11039', '35787', '20671', '35725', '9383']",35725,E,E
"[3, 7]","[0, 7]","['30859', '19796', '10984', '19992', '73164']",10984,D,D
"[3, 3]","[7, 3]","['10131', '30004', '994', '22487', '61767']",61767,E,E
"[15, 28]","[19, 28]","['10526', '3258', '23197', '67905', '23274']",23197,C,C
"[5, 4]","[3, 4]","['11039', '53032', '51114', '35725', '70560']",11039,A,A
"[15, 13]","[19, 13]","['68970', '53137', '43396', '24364', '25079']",43396,C,C
"[5, 4]","[3, 4]","['62609', '2004', '35725', '70560', '20671']",20671,E,E
"[3, 3]","[7, 3]","['22487', '52457', '72700', '994', '10017']",52457,B,B
"[3, 3]","[7, 3]","['10017', '52457', '22487', '22002', '30004']",52457,B,B
"[3, 3]","[7, 3]","['22002', '30004', '72700', '64781', '22487']",64781,C,C
"[14, 7]","[3, 7]","['25607', '67483', '51393', '38835', '19992']",19992,E,E
"[15, 13]","[19, 13]","['53137', '24364', '20590', '34763', '37914']",37914,E,E
