base_cluster,other_cluster,options,outlier_id,predicted_id,raw_response
"[17, 21]","[7, 3]","['62454', '9795', '69704', '62549', '64781']",64781,E,E
"[7, 1]","[17, 21]","['40487', '3536', '53652', '12421', '10825']",40487,C,C
"[17, 18]","[7, 22]","['23132', '21408', '6955', '66935', '21543']",23132,A,A
"[17, 18]","[7, 1]","['70105', '21408', '66316', '12376', '21543']",12376,D,D
"[17, 18]","[7, 20]","['2425', '66316', '21408', '46660', '21543']",2425,A,A
"[7, 1]","[17, 21]","['3536', '16951', '62549', '10825', '12421']",62549,C,C
"[7, 1]","[17, 21]","['62454', '53652', '12421', '17550', '8109']",62454,B,B
"[17, 18]","[7, 3]","['52457', '66316', '31693', '6955', '46660']",52457,A,A
"[17, 18]","[7, 3]","['70105', '31693', '52457', '51240', '21543']",52457,C,C
"[7, 1]","[17, 21]","['53652', '3536', '12376', '8109', '62549']",62549,B,B
"[17, 21]","[7, 1]","['78147', '62549', '69704', '12376', '62454']",12376,D,D
"[17, 18]","[7, 20]","['66316', '31693', '51240', '2425', '66935']",2425,D,D
"[17, 21]","[7, 20]","['55305', '62454', '69704', '9795', '78147']",55305,A,A
"[17, 18]","[7, 3]","['31693', '21408', '66316', '66935', '75828']",75828,E,E
"[17, 21]","[7, 22]","['69704', '31113', '62549', '40487', '78147']",31113,B,B
"[7, 1]","[17, 18]","['70105', '8109', '12376', '12421', '3536']",70105,E,E
"[17, 21]","[7, 1]","['8109', '40487', '69704', '62549', '62454']",8109,A,A
"[17, 18]","[7, 3]","['66316', '66935', '6955', '75828', '51240']",75828,D,D
"[17, 18]","[7, 22]","['66935', '46660', '70105', '23132', '21543']",23132,D,D
"[17, 18]","[7, 3]","['70105', '6955', '66316', '21408', '61767']",61767,E,E
"[17, 18]","[7, 1]","['6955', '66935', '3536', '31693', '70105']",3536,C,C
"[17, 21]","[7, 1]","['9795', '69704', '62549', '40487', '17550']",17550,E,E
"[17, 18]","[7, 1]","['51240', '70105', '31693', '17550', '46660']",17550,D,D
"[7, 1]","[17, 18]","['3536', '46660', '12376', '10825', '17550']",46660,C,C
"[17, 18]","[7, 1]","['12376', '6955', '21543', '21408', '46660']",12376,A,A
"[7, 20]","[17, 21]","['54372', '2425', '2277', '55305', '9795']",9795,E,E
"[7, 3]","[17, 21]","['64781', '78147', '75828', '61767', '52457']",78147,E,E
"[7, 1]","[17, 5]","['17550', '53652', '12421', '33045', '16951']",33045,D,D
"[17, 18]","[7, 22]","['21408', '23132', '66935', '46660', '6955']",23132,B,B
"[17, 18]","[7, 3]","['51240', '21408', '31693', '46660', '64781']",64781,E,E
"[17, 18]","[7, 20]","['2425', '21543', '21408', '70105', '51240']",2425,B,B
"[7, 1]","[17, 21]","['12376', '10825', '3536', '78147', '16951']",78147,E,E
"[7, 22]","[17, 21]","['31113', '23132', '78147', '79411', '40679']",78147,C,C
"[7, 1]","[17, 18]","['17550', '16951', '8109', '51240', '12376']",51240,D,D
"[7, 1]","[17, 21]","['10825', '8109', '53652', '62549', '12376']",62549,C,C
"[7, 1]","[17, 21]","['62549', '8109', '12421', '12376', '16951']",62549,D,D
"[17, 18]","[7, 20]","['54372', '66935', '51240', '6955', '21543']",54372,C,C
"[7, 1]","[17, 18]","['66316', '12376', '17550', '3536', '16951']",66316,D,D
"[17, 18]","[7, 1]","['46660', '21543', '21408', '53652', '6955']",53652,D,D
"[7, 1]","[17, 5]","['10825', '8109', '17550', '12421', '33045']",33045,E,E
"[17, 18]","[7, 20]","['55305', '51240', '21543', '21408', '31693']",55305,E,E
"[17, 18]","[7, 20]","['66935', '2277', '70105', '31693', '51240']",2277,B,B
"[17, 18]","[7, 1]","['21408', '66316', '8109', '31693', '66935']",8109,C,C
"[17, 18]","[7, 20]","['46660', '2277', '66316', '31693', '6955']",2277,B,B
"[17, 18]","[7, 22]","['31693', '51240', '31113', '66935', '46660']",31113,C,C
"[17, 18]","[7, 22]","['21543', '23132', '66316', '21408', '6955']",23132,B,B
"[17, 18]","[7, 1]","['21543', '66935', '12376', '51240', '6955']",12376,C,C
"[7, 20]","[17, 18]","['55305', '54372', '21543', '2425', '2277']",21543,D,D
"[17, 18]","[7, 22]","['21543', '51240', '23132', '21408', '70105']",23132,C,C
"[17, 21]","[7, 3]","['78147', '75828', '40487', '62454', '69704']",75828,B,B
"[17, 21]","[7, 3]","['52457', '62549', '9795', '62454', '69704']",52457,A,A
"[17, 18]","[7, 20]","['66316', '2425', '21543', '21408', '66935']",2425,B,B
"[17, 18]","[7, 22]","['23132', '70105', '66316', '31693', '21543']",23132,A,A
"[17, 18]","[7, 3]","['51240', '66316', '64781', '31693', '21543']",64781,C,C
"[17, 21]","[7, 3]","['9795', '78147', '40487', '69704', '61767']",61767,E,E
"[7, 1]","[17, 5]","['72055', '10825', '12376', '16951', '3536']",72055,E,E
"[17, 18]","[7, 3]","['31693', '66316', '51240', '6955', '52457']",52457,E,E
"[17, 18]","[7, 3]","['64781', '66935', '31693', '70105', '66316']",64781,A,A
"[17, 18]","[7, 22]","['70105', '6955', '66316', '21408', '31113']",31113,E,E
"[7, 1]","[17, 5]","['8109', '50221', '3536', '10825', '12421']",50221,B,B
"[17, 21]","[7, 1]","['62549', '40487', '12376', '9795', '78147']",12376,C,C
"[17, 18]","[7, 20]","['21543', '54372', '46660', '66316', '6955']",54372,C,C
"[17, 21]","[7, 22]","['62454', '40487', '9795', '62549', '40679']",40679,E,E
"[7, 1]","[17, 21]","['16951', '69704', '10825', '3536', '8109']",69704,D,D
"[17, 18]","[7, 3]","['21408', '6955', '70105', '31693', '52457']",52457,E,E
"[17, 18]","[7, 1]","['66935', '31693', '70105', '51240', '12421']",12421,E,E
"[7, 20]","[17, 5]","['7913', '2425', '55305', '54372', '2277']",7913,B,B
"[7, 1]","[17, 21]","['12421', '8109', '3536', '12376', '62549']",62549,E,E
"[17, 18]","[7, 3]","['31693', '75828', '66316', '46660', '21543']",75828,B,B
"[17, 21]","[7, 22]","['40487', '31113', '78147', '62454', '69704']",31113,B,B
"[7, 1]","[17, 18]","['3536', '53652', '17550', '31693', '12376']",31693,D,D
"[7, 1]","[17, 5]","['7913', '8109', '16951', '53652', '12421']",7913,C,C
"[7, 3]","[17, 5]","['61767', '7913', '64781', '52457', '75828']",7913,D,D
"[7, 1]","[17, 5]","['12421', '16951', '7913', '10825', '53652']",7913,D,D
"[7, 1]","[17, 21]","['3536', '62549', '10825', '12376', '53652']",62549,B,B
"[7, 1]","[17, 21]","['12376', '53652', '3536', '78147', '17550']",78147,C,C
"[17, 18]","[7, 22]","['23132', '31693', '70105', '21408', '21543']",23132,A,A
"[17, 18]","[7, 1]","['8109', '21543', '21408', '66316', '51240']",8109,A,A
